Feature_ID	Proto-language	gray_parsimony_prediction_0	gray_parsimony_prediction_1	ntips_parsimony_gray	min_parsimony_gray	min_percent_parsimony_gray	gray_parsimony_prediction	Prediction	Parsimony result (Gray et al 2009-tree posteriors)
GB052	Proto-Eastern Polynesian	1	0	123	3	0.024390243902439025	Absent	NA	NA
GB052	Proto-Oceanic	1	0	123	3	0.024390243902439025	Absent	0	True Negative
GB052	Proto-Polynesian	1	0	123	3	0.024390243902439025	Absent	NA	NA
GB053	Proto-Central Pacific	1	0	121	9	0.0743801652892562	Absent	NA	NA
GB053	Proto-Eastern Polynesian	1	0	121	9	0.0743801652892562	Absent	NA	NA
GB053	Proto-Oceanic	1	0	121	9	0.0743801652892562	Absent	0	True Negative
GB053	Proto-Polynesian	1	0	121	9	0.0743801652892562	Absent	NA	NA
GB054	Proto-Central Pacific	1	0	121	3	0.024793388429752067	Absent	NA	NA
GB054	Proto-Eastern Polynesian	1	0	121	3	0.024793388429752067	Absent	NA	NA
GB054	Proto-Oceanic	1	0	121	3	0.024793388429752067	Absent	0	True Negative
GB054	Proto-Polynesian	1	0	121	3	0.024793388429752067	Absent	NA	NA
GB057	Proto-Central Pacific	0.16416666666666666	0.8358333333333333	121	40	0.3305785123966942	Present	NA	NA
GB057	Proto-Eastern Polynesian	0.305	0.695	121	40	0.3305785123966942	Present	NA	NA
GB057	Proto-Oceanic	0.7	0.3	121	40	0.3305785123966942	Absent	NA	NA
GB057	Proto-Polynesian	0.062	0.938	121	40	0.3305785123966942	Present	NA	NA
GB058	Proto-Central Pacific	0	1	120	52	0.43333333333333335	Present	NA	NA
GB058	Proto-Eastern Polynesian	1	0	120	52	0.43333333333333335	Absent	NA	NA
GB058	Proto-Oceanic	0.3	0.7	120	52	0.43333333333333335	Present	1	True Positive
GB058	Proto-Polynesian	0.93	0.07	120	52	0.43333333333333335	Absent	NA	NA
GB059	Proto-Central Pacific	0	1	126	3	0.023809523809523808	Present	NA	NA
GB059	Proto-Eastern Polynesian	0	1	126	3	0.023809523809523808	Present	NA	NA
GB059	Proto-Oceanic	0	1	126	3	0.023809523809523808	Present	1	True Positive
GB059	Proto-Polynesian	0	1	126	3	0.023809523809523808	Present	1	True Positive
GB065a	Proto-Central Pacific	0.3190952380952381	0.6809047619047619	131	61	0.46564885496183206	Present	NA	NA
GB065a	Proto-Eastern Polynesian	0	1	131	61	0.46564885496183206	Present	NA	NA
GB065a	Proto-Oceanic	0.225	0.775	131	61	0.46564885496183206	Present	1	True Positive
GB065a	Proto-Polynesian	0.2029090354090354	0.7970909645909646	131	61	0.46564885496183206	Present	NA	NA
GB065b	Proto-Central Pacific	0	1	131	22	0.16793893129770993	Present	NA	NA
GB065b	Proto-Eastern Polynesian	0	1	131	22	0.16793893129770993	Present	NA	NA
GB065b	Proto-Oceanic	0.025	0.975	131	22	0.16793893129770993	Present	1	True Positive
GB065b	Proto-Polynesian	0	1	131	22	0.16793893129770993	Present	NA	NA
GB068	Proto-Central Pacific	0	1	112	31	0.2767857142857143	Present	NA	NA
GB068	Proto-Eastern Polynesian	0	1	112	31	0.2767857142857143	Present	NA	NA
GB068	Proto-Oceanic	0.435	0.565	112	31	0.2767857142857143	Half	1	Half
GB068	Proto-Polynesian	0	1	112	31	0.2767857142857143	Present	NA	NA
GB069	Proto-Central Pacific	1	0	104	39	0.375	Absent	NA	NA
GB069	Proto-Eastern Polynesian	1	0	104	39	0.375	Absent	NA	NA
GB069	Proto-Oceanic	0.655	0.345	104	39	0.375	Absent	NA	NA
GB069	Proto-Polynesian	1	0	104	39	0.375	Absent	NA	NA
GB070	Proto-Central Pacific	1	0	124	7	0.056451612903225805	Absent	NA	NA
GB070	Proto-Eastern Polynesian	1	0	124	7	0.056451612903225805	Absent	NA	NA
GB070	Proto-Oceanic	1	0	124	7	0.056451612903225805	Absent	NA	NA
GB070	Proto-Polynesian	1	0	124	7	0.056451612903225805	Absent	0	True Negative
GB071	Proto-Central Pacific	1	0	124	29	0.23387096774193547	Absent	0	True Negative
GB071	Proto-Eastern Polynesian	1	0	124	29	0.23387096774193547	Absent	NA	NA
GB071	Proto-Oceanic	1	0	124	29	0.23387096774193547	Absent	NA	NA
GB071	Proto-Polynesian	1	0	124	29	0.23387096774193547	Absent	NA	NA
GB072	Proto-Central Pacific	1	0	122	19	0.1557377049180328	Absent	NA	NA
GB072	Proto-Eastern Polynesian	1	0	122	19	0.1557377049180328	Absent	NA	NA
