ID	Grambank_ID_desc	Name	OV vs VO types (excl affixes)	OV VO score for counting	Binary_Multistate	ColumnSpec	Patrons	Boundness	Flexivity	Gender_or_Noun_Class	Locus_of_Marking	Word_Order	Informativity
GB074	GB074 Prepositions	Are there prepositions?	NA	NA	Binary	NA	JLE	0	NA	NA	NA	1	NA
GB075	GB075 Postpositions	Are there postpositions?	NA	NA	Binary	NA	JLE	0	NA	NA	NA	0	NA
GB079	GB079 VPrefixing	Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	NA	NA	Binary	NA	JLE	1	NA	NA	NA	NA	NA
GB080	GB080 VSuffixing	Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	NA	NA	Binary	NA	JLE	1	NA	NA	NA	NA	NA
GB081	GB081 VInfix	Is there productive infixation in verbs?	NA	NA	Binary	NA	HJH	1	NA	NA	NA	NA	NA
GB082	GB082 PresentBoundV	Is there overt morphological marking of present tense on verbs?	NA	NA	Binary	NA	HS	1	NA	NA	NA	NA	tense
GB083	GB083 PastBoundV	Is there overt morphological marking on the verb dedicated to past tense?	NA	NA	Binary	NA	HS	1	NA	NA	NA	NA	tense
GB084	GB084 FutureBoundV	Is there overt morphological marking on the verb dedicated to future tense?	NA	NA	Binary	NA	HS	1	NA	NA	NA	NA	tense
GB086	GB086 AspectBoundV	Is a morphological distinction between perfective and imperfective aspect available on verbs?	NA	NA	Binary	NA	HS	1	NA	NA	NA	NA	aspect
GB089	GB089 S-ArgSfxV	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	NA	NA	Binary	NA	AWM	1	NA	NA	1	NA	NA
GB090	GB090 S-ArgPfxV	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	NA	NA	Binary	NA	AWM	1	NA	NA	1	NA	NA
GB091	GB091 A-ArgSfxV	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	NA	NA	Binary	NA	AWM	1	NA	NA	1	NA	NA
GB092	GB092 A-ArgPfxV	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	NA	NA	Binary	NA	AWM	1	NA	NA	1	NA	NA
GB093	GB093 P-ArgSfxV	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	NA	NA	Binary	NA	AWM	1	NA	NA	1	NA	NA
GB094	GB094 P-ArgPfxV	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	NA	NA	Binary	NA	AWM	1	NA	NA	1	NA	NA
GB095	GB095 CaseSplitTAM	Are variations in marking strategies of core participants based on TAM distinctions?	NA	NA	Binary	NA	AWM	NA	1	NA	NA	NA	NA
GB096	GB096 CaseSplitVerbClass	Are variations in marking strategies of core participants based on verb classes?	NA	NA	Binary	NA	AWM	NA	1	NA	NA	NA	NA
GB098	GB098 CaseSplitPerson	Are variations in marking strategies of core participants based on person distinctions?	NA	NA	Binary	NA	AWM	NA	1	NA	NA	NA	NA
GB099	GB099 VSupplPerson	Can verb stems alter according to the person of a core participant?	NA	NA	Binary	NA	AWM	NA	1	NA	1	NA	NA
GB103	GB103 BenefApplBoundV	Is there a benefactive applicative marker on the verb (including indexing)?	NA	NA	Binary	NA	JLE	1	NA	NA	NA	NA	benefactive
GB104	GB104 AppInstrBoundV	Is there an instrumental applicative marker on the verb (including indexing)?	NA	NA	Binary	NA	JLE	1	NA	NA	NA	NA	instrumental
GB105	GB105 CaseRecipientObj	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	NA	NA	Binary	NA	AWM	NA	NA	NA	NA	NA	NA
GB107	GB107 NEGBoundV	Can standard negation be marked by an affix, clitic or modification of the verb?	NA	NA	Binary	NA	HS	1	NA	NA	NA	NA	NA
GB108	GB108 DirLocBoundV	Is there directional or locative morphological marking on verbs?	NA	NA	Binary	NA	JLE	1	NA	NA	NA	NA	directional
GB109	GB109 VSupplNUM	Is there verb suppletion for participant number?	NA	NA	Binary	NA	HS	NA	1	NA	1	NA	NA
GB110	GB110 VSupplTA	Is there verb suppletion for tense or aspect?	NA	NA	Binary	NA	HS	NA	1	NA	NA	NA	NA
GB111	GB111 VerbClass	Are there conjugation classes?	NA	NA	Binary	NA	JLA JC	NA	1	NA	NA	NA	NA
GB113	GB113 TransitivizingBound	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	NA	NA	Binary	NA	JLE	1	NA	NA	NA	NA	NA
GB114	GB114 ReflBoundV	Is there a phonologically bound reflexive marker on the verb?	NA	NA	Binary	NA	JLE	1	NA	NA	1	NA	reflexivity
GB115	GB115 RecipBoundV	Is there a phonologically bound reciprocal marker on the verb?	NA	NA	Binary	NA	JLE	1	NA	NA	1	NA	reciprocity
GB116	GB116 VClassifiers	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	NA	NA	Binary	NA	JLA JC	NA	1	NA	NA	NA	verbclassify
GB117	GB117 CopulaPredNom	Is there a copula for predicate nominals?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	copulaprednom
GB118	GB118 SerialV	Are there serial verb constructions?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB119	GB119 MoodAUX	Can mood be marked by an inflecting word (""""""""auxiliary verb"""""""")?	NA	NA	Binary	NA	HS	1	NA	NA	NA	NA	mood
GB120	GB120 AspectAUX	Can aspect be marked by an inflecting word (""""""""auxiliary verb"""""""")?	NA	NA	Binary	NA	HS	1	NA	NA	NA	NA	aspect
GB121	GB121 AUXTense	Can tense be marked by an inflecting word (""""""""auxiliary verb"""""""")?	NA	NA	Binary	NA	HS	1	NA	NA	NA	NA	tense
GB122	GB122 VCompounding	Is verb compounding a regular process?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB123	GB123 LightVerb	Are there verb-adjunct (aka light-verb) constructions?	NA	NA	Binary	NA	JLA JC	NA	NA	NA	NA	NA	NA
GB124	GB124 NounIncorpIntrans	Is incorporation of nouns into verbs a productive intransitivizing process?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB126	GB126 ExistentialV	Is there an existential verb?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	NA	existentialverb
GB127	GB127 PostureVerbs	Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?	NA	NA	Binary	NA	JLE	NA	NA	NA	NA	NA	postureverbs
GB129	GB129 FewVerbs	Is there a notably small number, i.e. about 100 or less, of verb roots in the language?	NA	NA	Binary	NA	HS	NA	NA	NA	NA	NA	NA
GB130	GB130 OrderSVIntrans	What is the pragmatically unmarked order of S and V in intransitive clauses?	NA	NA	Multi	NA	HJH	NA	NA	NA	NA	NA	NA
GB131	GB131 TransVInitOrder	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	1	NA
GB132	GB132 TransVMedOrder	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	NA	NA
GB133	GB133 TransVFinalOrder	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	NA	NA	Binary	NA	HJH	NA	NA	NA	NA	0	NA
