glottolog_parsimony_prediction	gray_mcct_parsimony_prediction	gray_posteriors_parsimony_prediction	glottolog_ML_prediction	gray_mcct_ML_prediction	gray_posteriors_ML_prediction	most_common_prediction	HL_prediction	Feature_ID	Proto-language	glottolog_parsimony_prediction_0	glottolog_parsimony_prediction_1	Parsimony result (Glottolog-tree)	ntips_parsimony_glottolog	min_percent_parsimony_glottolog	min_parsimony_glottolog	gray_mcct_parsimony_prediction_0	gray_mcct_parsimony_prediction_1	Parsimony result (Gray et al 2009-tree)	min_percent_parsimony_gray	min_parsimony_gray	ntips_parsimony_gray	gray_posteriors_parsimony_prediction_0	gray_posteriors_parsimony_prediction_1	ntips_parsimony_gray_posteriors	min_percent_parsimony_gray_posteriors	min_parsimony_gray_posteriors	Parsimony result (Gray et al 2009-tree posteriors)	glottolog_ML_prediction_0	glottolog_ML_prediction_1	min_percent_ML_glottolog	min_ML_glottolog	ntips_ML_glottolog	ML result (Glottolog-tree)	gray_mcct_ML_prediction_0	gray_mcct_ML_prediction_1	min_percent_ML_gray	min_ML_gray	ML result (Gray et al 2009-tree)	ntips_ML_gray	ML result (Gray et al 2009-tree posteriors)	ntips_ML_gray_posteriors	min_ML_gray_posteriors	min_percent_ML_gray_posteriors	gray_posteriors_ML_prediction_0	gray_posteriors_ML_prediction_1	ntip_most_common	min_most_common	most_common_prediction_0	most_common_prediction_1	min_percent_most_common	result_most_common	ntips	zeroes_total	ones_total	min_percent	conflict
Half	Half	Half	Present	Present	Absent	Present	Present	GB130b	Proto-Central Pacific	0.5	0.5	Half	259	0.23938223938223935	62	0.5	0.5	Half	0.30158730158730157	38	126	0.5966666666666667	0.4033333333333333	126	0.30158730158730157	38	Half	0.03432008846161378	0.9656799115383862	0.23938223938223935	62	259	True Positive	0.3641053463283392	0.6358946536716609	0.30158730158730157	38	True Positive	126	False Negative	126	38	0.30158730158730157	0.6038907055568021	0.3961092944431978	261	64	0.30303030303030304	0.696969696969697	0.24521072796934865	True Positive	259	197	62	0.23938223938223935	
Present	Present	Present	Present	Present	Present	Present	Present	GB130b	Proto-Polynesian	0	1	True Positive	259	0.23938223938223935	62	0	1	True Positive	0.30158730158730157	38	126	0.2798333333333333	0.7201666666666666	126	0.30158730158730157	38	True Positive	0.00107686114349316	0.9989231388565069	0.23938223938223935	62	259	True Positive	0.02026161463634202	0.979738385363658	0.30158730158730157	38	True Positive	126	True Positive	126	38	0.30158730158730157	0.09063050916570048	0.9093694908342996	261	64	0.3103448275862069	0.6896551724137931	0.24521072796934865	True Positive	259	197	62	0.23938223938223935	
Absent	Absent	Absent	Present	Absent	Absent	Absent		GB130b	Proto-Oceanic	1	0		259	0.23938223938223935	62	1	0		0.30158730158730157	38	126	1	0	126	0.30158730158730157	38		0.15076260989189225	0.8492373901081078	0.23938223938223935	62	259		0.7080799518817472	0.2919200481182527	0.30158730158730157	38		126		126	38	0.30158730158730157	0.9911406968498456	0.00885930315015429	261	64	0.7547892720306514	0.24521072796934865	0.24521072796934865		259	197	62	0.23938223938223935	
Present	Present	Present	Present	Present	Present	Present		GB130b	Proto-Eastern Polynesian	0	1		259	0.23938223938223935	62	0	1		0.30158730158730157	38	126	0	1	126	0.30158730158730157	38		5.091312051992926e-10	0.9999999994908688	0.23938223938223935	62	259		0.00113307355168925	0.9988669264483108	0.30158730158730157	38		126		126	38	0.30158730158730157	4.140474778907559e-4	0.9995859525221092	261	64	0	1	0.24521072796934865		259	197	62	0.23938223938223935	
Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	GB193a	Proto-Oceanic	1	0	True Negative	252	0.18253968253968253	46	1	0	True Negative	0.2063492063492063	26	126	1	0	126	0.2063492063492063	26	True Negative	0.7126448825028675	0.28735511749713244	0.18253968253968253	46	252	True Negative	0.7803402763146681	0.21965972368533193	0.2063492063492063	26	True Negative	126	True Negative	126	26	0.2063492063492063	0.7925495682568562	0.20745043174314384	253	46	0.8181818181818182	0.18181818181818185	0.18181818181818185	True Negative	252	206	46	0.18253968253968253	
Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	GB193a	Proto-Polynesian	1	0	True Negative	252	0.18253968253968253	46	1	0	True Negative	0.2063492063492063	26	126	1	0	126	0.2063492063492063	26	True Negative	0.7829268624983674	0.21707313750163257	0.18253968253968253	46	252	True Negative	0.7803402763146681	0.21965972368533193	0.2063492063492063	26	True Negative	126	True Negative	126	26	0.2063492063492063	0.7924981320675057	0.20750186793249423	253	46	0.7333333333333333	0.26666666666666666	0.18181818181818185	True Negative	252	206	46	0.18253968253968253	
Absent	Absent	Absent	Absent	Absent	Absent	Absent		GB193a	Proto-Central Pacific	1	0		252	0.18253968253968253	46	1	0		0.2063492063492063	26	126	1	0	126	0.2063492063492063	26		0.9225340133621406	0.07746598663785945	0.18253968253968253	46	252		0.7803402763146682	0.2196597236853318	0.2063492063492063	26		126		126	26	0.2063492063492063	0.7925491294637316	0.2074508705362684	253	46	0.7647058823529411	0.2352941176470588	0.18181818181818185		252	206	46	0.18253968253968253	
Absent	Absent	Absent	Absent	Absent	Absent	Absent		GB193a	Proto-Eastern Polynesian	1	0		252	0.18253968253968253	46	1	0		0.2063492063492063	26	126	1	0	126	0.2063492063492063	26		0.9343833542788949	0.06561664572110518	0.18253968253968253	46	252		0.7803402763146681	0.21965972368533185	0.2063492063492063	26		126		126	26	0.2063492063492063	0.7924105700310258	0.2075894299689742	253	46	0.7777777777777778	0.2222222222222222	0.18181818181818185		252	206	46	0.18253968253968253	
Present	Present	Present	Half	Present	Present	Present	Present	GB193b	Proto-Oceanic	0	1	True Positive	252	0.05555555555555555	14	0	1	True Positive	0.05555555555555555	7	126	0	1	126	0.05555555555555555	7	True Positive	0.466764204201973	0.5332357957980269	0.05555555555555555	14	252	Half	0.06094135558699933	0.9390586444130008	0.05555555555555555	7	True Positive	126	True Positive	126	7	0.05555555555555555	0.00185393331345653	0.9981460666865436	253	14	0.05533596837944664	0.9446640316205532	0.05533596837944664	True Positive	252	14	238	0.05555555555555555	
Present	Present	Present	Present	Present	Present	Present	Present	GB193b	Proto-Polynesian	0	1	True Positive	252	0.05555555555555555	14	0	1	True Positive	0.05555555555555555	7	126	0	1	126	0.05555555555555555	7	True Positive	0.01910312859113999	0.98089687140886	0.05555555555555555	14	252	True Positive	0.06088335750253979	0.9391166424974602	0.05555555555555555	7	True Positive	126	True Positive	126	7	0.05555555555555555	0.00170464310671275	0.9982953568932872	253	14	0	1	0.05533596837944664	True Positive	252	14	238	0.05555555555555555	
