Feature_ID	Proto-language	value	tree_type	variable	method	conflict
GB095	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB095	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB095	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB095	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB096	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB096	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB096	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB096	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB098	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB098	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB098	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB098	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB099	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB099	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB099	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB099	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB103	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB103	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB103	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB103	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB104	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB104	Proto-Central Pacific	Half	glottolog	prediction	parsimony	
GB104	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB104	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB105	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB105	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB105	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB105	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB107	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB107	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB107	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB107	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB108	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB108	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB108	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB108	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB109	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB109	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB109	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB109	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB110	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB110	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB110	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB110	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB111	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB111	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB111	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB111	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB113	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB113	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB113	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB113	Proto-Eastern Polynesian	Present	glottolog	prediction	parsimony	
GB114	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB114	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB114	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB114	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB115	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB115	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB115	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB115	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB116	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB116	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB116	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB116	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB117	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB117	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB117	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB117	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB118	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB118	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB118	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB118	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB119	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB119	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB119	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB119	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB120	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB120	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB120	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB120	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB121	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB121	Proto-Central Pacific	Absent	glottolog	prediction	parsimony	
GB121	Proto-Polynesian	Absent	glottolog	prediction	parsimony	
GB121	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB122	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB122	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB122	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB122	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB124	Proto-Oceanic	Absent	glottolog	prediction	parsimony	
GB124	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB124	Proto-Polynesian	Present	glottolog	prediction	parsimony	
GB124	Proto-Eastern Polynesian	Absent	glottolog	prediction	parsimony	
GB126	Proto-Oceanic	Present	glottolog	prediction	parsimony	
GB126	Proto-Central Pacific	Present	glottolog	prediction	parsimony	
GB126	Proto-Polynesian	Present	glottolog	prediction	parsimony	
