pol_complex_code_Hedvig,me_stripped,Smallest_Island_group_main,reference if not same as Sheehan,glottocode,_prop,Sheehan_2018_code,EA033_code,EA032_code,same,Glottocode_spec,Language_level_ID,level,Family_me
2,Mangareva,Mangareva,Not applicable,mang1401,0.1128205128,2,3,,different,mang1401,mang1401,language,Austronesian
2,Mangarongaro,Mangarongaro,Not applicable,penr1237,0.4,2,2,,same,penr1237,penr1237,language,Austronesian
,Mapia,Mapia,Not applicable,mapi1250,,,,,,mapi1250,mapi1250,language,Austronesian
,Merlav,Merelava group,Not applicable,merl1237,,,,,,merl1237,merl1237,language,Austronesian
,Mortlockese,Mortlock,Not applicable,mort1237,,,,,,mort1237,mort1237,language,Austronesian
1,Mota,Mota,Bonnemaison (1996:200),mota1237,0.441025641,,1,,,mota1237,mota1237,language,Austronesian
1,Mwotlap,Mota Lava,Bonnemaison (1996:200),motl1237,0,0,,,,motl1237,motl1237,language,Austronesian
,Mokilese,Mwoakilloa,Not applicable,moki1238,,,,,,moki1238,moki1238,language,Austronesian
2,Austral,,"Aitken does mention paramount rules, but they seem to have been instable.",aust1304,,2,,,,aust1304,aust1304,language,Austronesian
3,Fijian,,Not applicable,fiji1243,0.041025641,3,,,,fiji1243,fiji1243,language,Austronesian
,New Caledonian Javanese,,Not applicable,newc1244,,,,,,newc1244,newc1244,language,Austronesian
2,Maori,,Not applicable,maor1246,0.0153846154,2,2,,same,maor1246,maor1246,language,Austronesian
,monuito,monuito,Not applicable,mo1247,,,,,,mo1247,mo1247,language,Austronesian
2,Tuamotuan,"puka, Tuamotu, Hereheretue, Tureia, Nukutaveke, Tatakoto, Morane, Marutea",Not applicable,tuam1242,,2,2,,same,tuam1242,tuam1242,language,Austronesian
2,uru,uru,Not applicable,ur1243,0.1128205128,,2,,,ur1243,ur1243,language,Austronesian
1,tugu,Nendö,Not applicable,tu1246,0.4974358974,,1,,,tu1246,tu1246,language,Austronesian
,logo,Nendö,Not applicable,lo1235,,,,,,lo1235,lo1235,language,Austronesian
1,nggu,Nendö,"Comment from Oliver: “The difference between 1 and 0 is whether or not centralized political authority exists at the local level. A society would be coded '1' if it consisted of autonomous local communities which each had a system of authority, e.g. a village council. If local communities were associations of households (or other sub-local groups, such as village wards) with no overarching system of authority, the society would be coded '0'.The EA does not make this distinction, since it focuses exclusively on levels of authority beyond the local community. I would recommend using the EA variable, since from a linguistic diversity perspective I don't imagine this distinction would matter. “",ng1262,0.1692307692,0,,,,ng1262,ng1262,language,Austronesian
3,Nengone,Nengone,Not applicable,neng1238,0.1333333333,3,,,,neng1238,neng1238,language,Austronesian
2,Pohnpeian,"Ngatik, Pohnpei",Not applicable,pohn1238,0.0666666667,2,3,,different,pohn1238,pohn1238,language,Austronesian
,Nguluwan,Nguluwan,Not applicable,ngul1236,,,,,,ngul1236,ngul1236,language,Austronesian
,Niuafo?ou,Niuafoou,Not applicable,niua1240,,,,,,niua1240,niua1240,language,Austronesian
,Niuatoputapu,Niuatoputapu,Not applicable,niua1241,,,,,,niua1241,niua1241,language,Austronesian
2,Niuean,Niue,Not applicable,niue1239,0.2923076923,2,2,,same,niue1239,niue1239,language,Austronesian
1,North Marquesan,North Marquesas,Not applicable,nort2845,0.0871794872,1,2,,different,nort2845,nort2845,language,Austronesian
,Nukumanu,Nukumanu,Not applicable,nuku1258,,,,,,nuku1258,nuku1258,language,Austronesian
1,Nukuoro,Nukuoro,Not applicable,nuku1260,0.3846153846,1,,,,nuku1260,nuku1260,language,Austronesian
,Nukuria,Nukuria,Not applicable,nuku1259,,,,,,nuku1259,nuku1259,language,Austronesian
,Iaai,"Ouvea (Iaai), Ouvea",Not applicable,iaai1238,,,,,,iaai1238,iaai1238,language,Austronesian
,West Uvean,"Ouvea, Ouvea (West Uvean)",Not applicable,west2516,,,,,,west2516,west2516,language,Austronesian
,Paafang,Paafang,Not applicable,paaf1237,,,,,,paaf1237,paaf1237,language,Austronesian
1,Paama,Paama,Bonnemaison (1996:200),paam1238,,,,,,paam1238,paam1238,language,Austronesian
2,Palauan,Palau,"Force RW (1960) Leadership and Cultural Change in Palau (Chicago tural History Museum, Chicago, IL).",pala1344,0.0564102564,1,3,,different,pala1344,pala1344,language,Austronesian
1,Sa,Pentecost,Not applicable,saaa1241,0.1794871795,,1,,,saaa1241,saaa1241,language,Austronesian
,Apma,Pentecost,Not applicable,apma1240,,,,,,apma1240,apma1240,language,Austronesian
,Hano,Pentecost,Not applicable,hano1246,0.06153846,,,,,hano1246,hano1246,language,Austronesian
,Seke Vanuatu,Pentecost,Not applicable,seke1241,,,,,,seke1241,seke1241,language,Austronesian
,Sowa,Pentecost,Not applicable,sowa1244,,,,,,sowa1244,sowa1244,language,Austronesian
,Pingelapese,Pingelap,Not applicable,ping1243,,,,,,ping1243,ping1243,language,Austronesian
,Pollapese,Pollap,Not applicable,poll1238,,,,,,poll1238,poll1238,language,Austronesian
2,Pukapuka,Pukapuka,Possibly 1�,puka1242,0.2102564103,,2,,,puka1242,puka1242,language,Austronesian
,Puluwatese,Puluwat,Not applicable,pulu1242,,,,,,pulu1242,pulu1242,language,Austronesian
2,Austral,Raivavae,"Aitken does mention paramount rules, but they seem to have been instable.",aust1304,,2,,,,raiv1237,aust1304,language,Austronesian
2,RakahangaManihiki,Rakahanga-Manihiki,Not applicable,raka1237,,,2,,,raka1237,raka1237,language,Austronesian
3,Marshallese,"Ralik, Ratak",Not applicable,mars1254,0.2205128205,3,,,,mars1254,mars1254,language,Austronesian
,Old Rapa,Rapa Iti,Not applicable,rapa1245,,,,,,rapa1245,rapa1245,language,Austronesian
2,Rapanui,Rapa Nui,Not applicable,rapa1244,0.1641025641,2,2,,same,rapa1244,rapa1244,language,Austronesian
3,Tahitian,"Raro Matai, Nia Matai","Oliver DL (1974) Ancient Tahitian Society (Volume 2: Social Relations) (Univ Hawaii Press: Honolulu, HI). Pages: 970-973",tahi1242,0.0307692308,4,3,,different,tahi1242,tahi1242,language,Austronesian
2,Southern Cook Island Maori,Rarotonga,Not applicable,raro1241,0.1128205128,2,2,,same,raro1241,raro1241,language,Austronesian
1,VaeakauTaumako,"Reef Islands, Duff Islands","Comment from Oliver: “The difference between 1 and 0 is whether or not centralized political authority exists at the local level. A society would be coded '1' if it consisted of autonomous local communities which each had a system of authority, e.g. a village council. If local communities were associations of households (or other sub-local groups, such as village wards) with no overarching system of authority, the society would be coded '0'.The EA does not make this distinction, since it focuses exclusively on levels of authority beyond the local community. I would recommend using the EA variable, since from a linguistic diversity perspective I don't imagine this distinction would matter. “",pile1238,0.0564102564,0,,,,pile1238,pile1238,language,Austronesian
2,Austral,Rimatara,"Aitken does mention paramount rules, but they seem to have been instable.",aust1304,,2,,,,rima1237,aust1304,language,Austronesian
3,Rotuman,Rotuma,Not applicable,rotu1241,0.1641025641,3,2,,different,rotu1241,rotu1241,language,Austronesian
2,Austral,Rurutu,"Aitken does mention paramount rules, but they seem to have been instable.",aust1304,,2,,,,ruru1237,aust1304,language,Austronesian
,Tapag,Saipan,Not applicable,ta1281,,,,,,ta1281,ta1281,language,Austronesian
1,Carolinian,"Saipan, Northern Marias",Not applicable,caro1242,0.2102564103,,1,,,caro1242,caro1242,language,Austronesian
3,Samoan,Samoa,Not applicable,samo1305,0.5076923077,3,,,,samo1305,samo1305,language,Austronesian
1,Farafi,Santo,Not applicable,butm1237,,,1,2,,butm1237,butm1237,language,Austronesian
1,Polonombauk,Santo,Not applicable,polo1242,,,1,,,polo1242,polo1242,language,Austronesian
1,Akei,Santo,Bonnemaison (1996:200),akei1237,,,,,,akei1237,akei1237,language,Austronesian
