Language_ID	aes	category	classification	level	med	subclassification	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID
bael1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/nort2833/nort3284	language	Wordlist or less	bael1237:1	Baelelea	Papunesia	-8.41627	160.721	bael1237	bvc	SB	aust1307	bael1237
baet1237	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/maew1234	language	Wordlist or less	(naro1250:1,nasa1241:1,tali1260:1)baet1237:1	Baetora	Papunesia	-15.2574	168.159	baet1237	btr	VU	aust1307	baet1237
baki1244	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/epie1239/epii1237/baki1243	language	grammar sketch	baki1244:1	Baki	Papunesia	-16.7096	168.165	baki1244	bki	VU	aust1307	baki1244
bala1316	NA	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/nort3325/extr1244/nyal1256	language	grammar sketch	bala1316:1	Balade	Papunesia	-20.25	164.2	bala1316	NA	NC	aust1307	bala1316
balu1257	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/admi1239/east2459/sout2879/loup1244	language	long grammar	(balu1258:1,pamm1243:1)balu1257:1	Paluai	Papunesia	-2.5604	147.282	balu1257	blq	PG	aust1307	balu1257
bann1247	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/piva1237	language	long grammar	bann1247:1	Bannoni	Papunesia	-6.23061	155.128	bann1247	bcm	PG	aust1307	bann1247
bari1286	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/nger1240/east2772	language	grammar	bari1286:1	Bariai	Papunesia	-5.5087	148.666	bari1286	bch	PG	aust1307	bari1286
baro1253	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/newi1242/mada1284	language	long grammar	(nucl1489:1,usen1237:1)baro1253:1	Barok	Papunesia	-3.47672	152.193	baro1253	bjk	PG	aust1307	baro1253
baur1252	not endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/mala1485/mala1540/sanc1243	language	phonology/text	(haun1237:1,nucl1475:1,rawo1242:1)baur1252:1	Bauro	Papunesia	-10.5826	161.863	baur1252	bxa	SB	aust1307	baur1252
bebe1252	moribund	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/bebe1254	language	Wordlist or less	bebe1252:1	Bebeli	Papunesia	-5.63282	150.323	bebe1252	bek	PG	aust1307	bebe1252
