taxon,glottocode,xd_ids,soc_ids,ABVD_ID
Nahavaq,sout2857,xd868,Ih2,453
NakanaiBileki_D,naka1262,,,176
Nalik,nali1244,,,368
Namakir,nama1268,,,475
Naman,litz1237,,,457
Nanggu,nang1262,,,502
Nati,nati1244,,,485
Nauna,naun1237,,,96
NehanHape,neha1247,,,98
Nelemwa,kuma1276,,,76
Nembao,amba1266,,,352
Nengone,neng1238,,,99
Nese,nese1235,,,459
Neveei,vinm1237,,,484
Ngadha,ngad1261,,,100
NgaiborSAru,west2538,,,101
Nggela,gela1263,,,102
Nguna,nort2836,,,103
Nias,nias1242,,,104
Nila,nila1244,,,305
Nissan,neha1247,,,105
Niue,niue1239,xd888,Ii9,247
NorthBabar,nort2860,,,309
Nukuoro,nuku1260,,,64
NumbamiSiboma,numb1247,,,231
Numfor,biak1248,,,106
Ogan,cent2053,,,107
OldChinese,oldc1244,,,331
OldJavanese,java1254,,,290
Orkon,orko1234,,,476
PaameseSouth,paam1238,,,108
Paiwan,paiw1248,xd746,Ia6,177
Palauan,pala1344,xd824,"If1, SCCS111",109
PalawanBatak,broo1239,xd900,B2,265
Pangasinan,pang1290,,,405
Patpatar,patp1243,,,178
Paulohi,paul1238,,,110
Pazeh,kulo1237,,,266
Penrhyn,penr1237,xd890,Ij10,235
Perai,pera1257,,,298
PeteraraMaewo,cent2058,,,111
PhanRangChamEasternCham,east2563,xd718,Ej11,371
Ponapean,pohn1238,xd836,If5,179
Pondok,anak1240,,,317
Popalia,tuka1249,,,112
PuloAnnan,sons1242,,,337
Puluwatese,pulu1242,,,336
PunanKelai,sega1243,xd1442,B1,181
Puyuma,puyu1239,xd734,Ia11,271
Raga,hano1246,,,113
RapanuiEasterIsland,rapa1244,xd898,Ij9,264
Rarotongan,raro1241,xd889,Ij1,58
RejangRejang,reja1240,,,114
Rennellese,renn1242,xd877,Ii10,206
Ririo,riri1237,,,182
RotiTermanu_D,term1237,xd766,Ic4,115
Rotuman,rotu1241,xd872,Ih6,116
Roviana,rovi1238,,,117
Rukai,ruka1240,,,272
Rurutuan,aust1304,,,128
Saa,saaa1240,xd858,Ig6,221
Saaroa,saar1237,,,273
SaipanCarolinian,caro1242,xd830,If15,338
Saisiat,sais1237,,,274
SakaoPortOlry,saka1289,,,230
Saliba,sali1295,,,404
SamalSiasi_D,cent2092,,,443
SambalBotolan,boto1242,xd904,B7,444
Samoan,samo1305,"xd876, xd880","Ii1, Ii14, SCCS106",118
SangilSaraganiIslands,sang1337,,,445
Sangir,sang1336,,,183
SangirTabukang_D,sang1336,,,446
SantaAna,owaa1237,,,184
SaranganiBlaan,sara1326,,,293
Sasak,sasa1249,,,185
Satawalese,sata1237,,,343
Savu,sabu1255,,,119
Sediq,taro1264,,,275
Seimat,seim1238,,,121
Sekar,seka1247,,,186
Selaru,sela1259,xd768,Ic6,122
Sengseng,seng1281,,,123
Serili,seri1255,,,311
Serua,seru1245,,,304
Siar,siar1238,,,364
Sika,sika1262,,,124
Sikaiana,sika1261,,,243
Simbo,simb1256,xd860,Ig8,473
Singhi,baub1235,,,125
Siraya,sira1267,,,276
Sisingga,baba1268,,,363
Soa,cent2074,,,327
Soboyo,tali1262,,,127
SouthEastBabar,sout2883,,,310
SouthEfate,sout2856,,,322
SquliqAtayal,atay1247,,,255
Suau,suau1242,xd846,Ig14,227
SubanonSiocon,west2557,,,448
SubanunSindangan,cent2089,xd744,Ia4,447
Sunda,sund1252,,,284
Surigaonon,suri1273,,,466
SyeErromangan,siee1239,xd865,Ih12,463
Tabar,mand1440,,,129
TaeSToraja,tora1261,xd767,"Ic5, SCCS87",226
Tagalog,taga1270,,,277
TagbanwaAborlan_D,cent2090,xd747,Ia7,450
TagbanwaKalamianCoronIsland_D,cala1258,,,451
TahitianModern,tahi1242,xd897,Ij8,173
Taiof,sapo1253,,,225
