Glottocode	Smallest_Island_group	Smallest_Island_group_main	Language_name	Glottocode_language_level	level	country_ids	Near_Remote_Oceania	Subsubgroupings	Oceania_subregion	Boxplot_groups	Abberancy_group	Macroarea	desc_status	Island group	Latitude	Longitude	Family_name	boxplot_color	Abberancy_group_color
avok1244	Malakula	Malakula	Avok	avok1244	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	NA	Malakula	NA	NA	Austronesian	#984ea3	#4daf4a
axam1237	Malakula	Malakula	Axamb	axam1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Malakula	-16.4838	167.707	Austronesian	#984ea3	#4daf4a
ayiw1239	Lomlom	Lomlom	Äiwoo	ayiw1239	language	SB	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Temotu	Papunesia	grammar_sketch	Lomlom	-10.282595	166.328715	Austronesian	#984ea3	NA
baet1237	Maewo	Maewo	Baetora	baet1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Maewo	-15.2574	168.159	Austronesian	#984ea3	#4daf4a
baki1244	Epi	Epi	Baki	baki1244	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar_sketch	Epi	-16.7096	168.165	Austronesian	#984ea3	#4daf4a
bala1316	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Balade	bala1316	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	NA	Kanaky (New Caledonia main island)	-20.25	164.2	Austronesian	#4daf4a	#ff8a2b
bier1244	Epi	Epi	Bierebo	bier1244	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Epi	-16.6663	168.154	Austronesian	#984ea3	#4daf4a
bier1246	Epi	Epi	Bieria	bier1246	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Epi	-16.7867	168.232	Austronesian	#984ea3	#4daf4a
bign1238	Malakula	Malakula	Big Nambas	bign1238	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Malakula	-16.0903	167.239	Austronesian	#984ea3	#4daf4a
burm1263	Malakula	Malakula	Burmbar	burm1263	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Malakula	-16.41653	167.73124	Austronesian	#984ea3	#4daf4a
butm1237	Santo	Santo	Farafi	butm1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Santo	-15.3353	167.034	Austronesian	#984ea3	#4daf4a
bwat1240	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Bwatoo	bwat1240	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	grammar_sketch	Kanaky (New Caledonia main island)	-21.3777	165.076	Austronesian	#4daf4a	#ff8a2b
bwen1239	Malakula	Malakula	Bwenelang	bwen1239	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	NA	Malakula	-16.338946	167.660849	Austronesian	#984ea3	#4daf4a
caac1237	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Caac	caac1237	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	grammar_sketch	Kanaky (New Caledonia main island)	-20.4114	164.578	Austronesian	#4daf4a	#ff8a2b
caro1242	Northern Marianas, Saipan	Saipan, Northern Marianas	Carolinian	caro1242	language	MP	Remote Oceania	Micronesian	Micronesia	Micronesia	Micronesia	Papunesia	grammar_sketch	NA	15.205	145.765	Austronesian	#e41a1c	#984ea3
cemu1238	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Cemuhî	cemu1238	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	grammar	Kanaky (New Caledonia main island)	-20.8489	165.13	Austronesian	#4daf4a	#ff8a2b
cent2058	Maewo	Maewo	Central Maewo	cent2058	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar_sketch	Maewo	-15.0784	168.135	Austronesian	#984ea3	#4daf4a
cham1312	Saipan, Tinian, Guam	Guam, Tinian	Chamorro	cham1312	language	GU MP	Remote Oceania	Micronesian nonOceanic	Micronesia	Micronesia	Micronesia	Papunesia	grammar	Chamorro	13.438011	144.74474	Austronesian	#e41a1c	#984ea3
chuu1238	Chuuk	Chuuk	Chuukese	chuu1238	language	FM	Remote Oceania	Micronesian	Micronesia	Micronesia	Micronesia	Papunesia	grammar_sketch	Chuuk	7.346993	151.598607	Austronesian	#e41a1c	#984ea3
daka1243	Ambrym	Ambrym	Dakaka	daka1243	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Ambrym	-16.2696	168.013	Austronesian	#984ea3	#4daf4a
dehu1237	Lifou	Lifou	Dehu	dehu1237	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	grammar	Lifou	-20.8892	167.229	Austronesian	#4daf4a	#ff8a2b
dixo1238	Malakula	Malakula	Dixon Reef	dixo1238	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Malakula	-16.3267	167.516	Austronesian	#984ea3	#4daf4a
dumb1241	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Dumbea	dumb1241	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	grammar_sketch	Kanaky (New Caledonia main island)	-22.0947	166.531	Austronesian	#4daf4a	#ff8a2b
east2443	Ambae	Ambae	East Ambae	east2443	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Ambae	-15.3523	167.89	Austronesian	#984ea3	#4daf4a
east2447	East Futuna	East Futuna	East Futuna	east2447	language	WF	Remote Oceania	Western Polynesia	Polynesia	Central Pacific	Central Pacific	Papunesia	grammar	East Futuna	-14.278717	-178.137222	Austronesian	#377eb8	#e41a1c
emae1237	Emae	Emae	Emae	emae1237	language	VU	Remote Oceania	Polynesian Outlier	Polynesia	Central Pacific	Central Pacific	Papunesia	grammar_sketch	Emae	-17.052	168.399	Austronesian	#377eb8	#e41a1c
eton1255	Efate	Efate	Eton (Vanuatu)	eton1255	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Efate	-17.74	168.549	Austronesian	#984ea3	#4daf4a
fort1240	Santo	Santo	Kiai	fort1240	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Santo	-15.4484	166.931	Austronesian	#984ea3	#4daf4a
futu1245	Futuna and Aniwa	Futuna and Aniwa	Futuna-Aniwa	futu1245	language	VU	Remote Oceania	Polynesian Outlier	Polynesia	Central Pacific	Central Pacific	Papunesia	grammar	Futuna and Aniwa	-19.5303	170.215	Austronesian	#377eb8	#e41a1c
fwai1237	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Fwâi	fwai1237	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	specific_feature	Kanaky (New Caledonia main island)	-20.6873	164.901	Austronesian	#4daf4a	#ff8a2b
gilb1244	Niu, Tungaru, Banaba	Tungaru	Gilbertese	gilb1244	language	KI SB	Remote Oceania	Micronesian	Micronesia	Micronesia	Micronesia	Papunesia	grammar	Tungaru	-1.34	176.44	Austronesian	#e41a1c	#984ea3
gone1237	Vanua Levu, Taveuni	Vanua Levu, Taveuni	Gone Dau	gone1237	language	FJ	Remote Oceania	Fiji	Melanesia	Central Pacific	Central Pacific	Papunesia	comparative	Vanua Levu	-16.5886	178.599	Austronesian	#377eb8	#e41a1c
haek1239	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Haeke	haek1239	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	specific_feature	Kanaky (New Caledonia main island)	-21.0735	164.869	Austronesian	#4daf4a	#ff8a2b
hano1246	Pentecost	Pentecost	Hano	hano1246	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Pentecost	-15.5432	168.167	Austronesian	#984ea3	#4daf4a
have1241	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Haveke	have1241	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	specific_feature	Kanaky (New Caledonia main island)	-21.0249	164.753	Austronesian	#4daf4a	#ff8a2b
hawa1245	Hawaii	Hawaii	Hawaiian	hawa1245	language	US	Remote Oceania	Eastern Polynesia	Polynesia	Central Pacific	Central Pacific	Papunesia	grammar	Hawai'i	19.6297	-155.43	Austronesian	#377eb8	#e41a1c
hiww1237	Hiu	Hiu	Hiw	hiww1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Northern Vanuatu	Papunesia	specific_feature	Hiu	-13.126367	166.584857	Austronesian	#984ea3	NA
hmwa1243	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Hmwaveke	hmwa1243	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	specific_feature	Kanaky (New Caledonia main island)	-20.9246	164.768	Austronesian	#4daf4a	#ff8a2b
iaai1238	Ouvea, Ouvea (Iaai)	Ouvea (Iaai), Ouvea	Iaai	iaai1238	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	grammar	Ouvéa	-20.6301	166.59	Austronesian	#4daf4a	#ff8a2b
ifoo1237	Erromango	Erromango	Ifo	ifoo1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Southern Vanuatu	Papunesia	wordlist	Erromango	-18.7668	169.007	Austronesian	#984ea3	NA
jawe1237	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Jawe	jawe1237	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	specific_feature	Kanaky (New Caledonia main island)	-20.6648	164.676	Austronesian	#4daf4a	#ff8a2b
kada1285	Kadavu	Kadavu	Kadavu Fijian	fiji1243	language	FJ	Remote Oceania	Fiji	Melanesia	Central Pacific	Central Pacific	Papunesia	NA	NA	NA	NA	Austronesian	#377eb8	#e41a1c
kapi1249	Kapingamarangi	Kapingamarangi	Kapingamarangi	kapi1249	language	FM	Remote Oceania	Polynesian Outlier	Polynesia	Central Pacific	Central Pacific	Papunesia	grammar_sketch	Kapingamarangi	1.039166	154.797223	Austronesian	#377eb8	#e41a1c
katb1237	Malakula	Malakula	Avava	katb1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Malakula	-16.2701	167.484	Austronesian	#984ea3	#4daf4a
koro1308	Gaua	Gaua	Koro-Olrat	koro1308	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Northern Vanuatu	Papunesia	wordlist	Gaua	-14.2943	167.467	Austronesian	#984ea3	NA
kosr1238	Kosrae	Kosrae	Kosraean	kosr1238	language	FM	Remote Oceania	Micronesian	Micronesia	Micronesia	Micronesia	Papunesia	grammar	Kosrae	5.31	162.98	Austronesian	#e41a1c	#984ea3
kuma1276	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kumak	kuma1276	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	grammar	Kanaky (New Caledonia main island)	-20.4035	164.193	Austronesian	#4daf4a	#ff8a2b
kwam1252	Tanna	Tanna	Kwamera	kwam1252	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Southern Vanuatu	Papunesia	grammar_sketch	Tanna	-19.5954	169.442	Austronesian	#984ea3	NA
labo1244	Malakula	Malakula	Ninde	labo1244	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Malakula	-16.4291	167.442	Austronesian	#984ea3	#4daf4a
lako1245	Gaua	Gaua	Lakon	lako1245	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Northern Vanuatu	Papunesia	wordlist	Gaua	-14.29899	167.429382	Austronesian	#984ea3	NA
lame1260	Epi	Epi	Lamenu	lame1260	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar_sketch	Epi	-16.6098	168.171	Austronesian	#984ea3	#4daf4a
lare1249	Malakula	Malakula	Larevat	lare1249	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	specific_feature	Malakula	-16.1971	167.387	Austronesian	#984ea3	#4daf4a
laua1243	Lau	Lau	Lauan	laua1243	language	FJ	Remote Oceania	Fiji	Melanesia	Central Pacific	Central Pacific	Papunesia	comparative	Lau	-18.2131	-178.785	Austronesian	#377eb8	#e41a1c
leha1243	Ureparapara	Ureparapara	Lehali	leha1243	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Northern Vanuatu	Papunesia	wordlist	Ureparapara	-13.5043	167.332	Austronesian	#984ea3	NA
leha1244	Ureparapara	Ureparapara	Lehalurup	leha1244	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Northern Vanuatu	Papunesia	wordlist	Ureparapara	-13.542726	167.343342	Austronesian	#984ea3	NA
lele1267	Efate	Efate	Lelepa	lele1267	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Efate	-17.6042	168.202	Austronesian	#984ea3	#4daf4a
leme1238	Vanua Lava	Vanua Lava	Lemerig	leme1238	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Northern Vanuatu	Papunesia	specific_feature	Vanua Lava	-13.739697	167.420676	Austronesian	#984ea3	NA
lena1238	Tanna	Tanna	Lenakel	lena1238	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Southern Vanuatu	Papunesia	grammar_sketch	Tanna	-19.4763	169.261	Austronesian	#984ea3	NA
lete1241	Malakula	Malakula	Letemboi-Repanbitip	lete1241	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Malakula	-16.4339	167.566	Austronesian	#984ea3	#4daf4a
lewo1242	Epi	Epi	Lewo	lewo1242	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Epi	-16.7612	168.334	Austronesian	#984ea3	#4daf4a
ling1265	Malakula	Malakula	Neverver	ling1265	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Malakula	-16.1986	167.499	Austronesian	#984ea3	#4daf4a
litz1237	Malakula	Malakula	Naman	litz1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Malakula	-16.1331	167.415	Austronesian	#984ea3	#4daf4a
loma1261	Lomaviti, Leveuka (Lomaviti)	Lomaviti, Leveuka (Lomaviti)	Lomaiviti	loma1261	language	FJ	Remote Oceania	Fiji	Melanesia	Central Pacific	Central Pacific	Papunesia	comparative	Lomaviti	-18.0001	179.306	Austronesian	#377eb8	#e41a1c
lonw1238	Ambrym	Ambrym	Lonwolwol	lonw1238	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Ambrym	-16.2286	168.016	Austronesian	#984ea3	#4daf4a
lore1244	Santo	Santo	Nethalp	lore1244	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Santo	-15.334763	167.166325	Austronesian	#984ea3	#4daf4a
loto1240	Loh-Toga, Tegua	Tegua, Loh-Toga	Lo-Toga	loto1240	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Northern Vanuatu	Papunesia	wordlist	Loh-Toga	-13.334872	166.634338	Austronesian	#984ea3	NA
maee1241	Malakula	Malakula	Tirax	maee1241	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Malakula	-15.9914	167.288	Austronesian	#984ea3	#4daf4a
mafe1237	Mafea	Mafea	Mafea	mafe1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Mafea	-15.4316	167.241	Austronesian	#984ea3	#4daf4a
maii1238	Epi	Epi	Maii	maii1238	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	specific_feature	Epi	-16.7388	168.211	Austronesian	#984ea3	#4daf4a
malf1237	Malakula	Malakula	Na'ahai	malf1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Malakula	-16.5499	167.509	Austronesian	#984ea3	#4daf4a
malo1243	Tamambo	Tamambo	Tamambo	malo1243	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Tamambo	-15.6835	167.16	Austronesian	#984ea3	#4daf4a
malu1245	Malakula	Malakula	Malua Bay	malu1245	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Malakula	-15.9813	167.208	Austronesian	#984ea3	#4daf4a
mang1401	Mangareva	Mangareva	Mangareva	mang1401	language	PF	Remote Oceania	Eastern Polynesia	Polynesia	Central Pacific	Central Pacific	Papunesia	grammar	Mangareva	-23.1095	-134.97	Austronesian	#377eb8	#e41a1c
maor1246	North Island (NZ), South Island (NZ)	NA	Maori	maor1246	language	NZ	Remote Oceania	Eastern Polynesia	Polynesia	Central Pacific	Central Pacific	Papunesia	grammar	Aotearoa	-38.2881	176.541	Austronesian	#377eb8	#e41a1c
mapi1250	Mapia	Mapia	Mapia	mapi1250	language	ID	Remote Oceania	Micronesian	Melanesia	Micronesia	Micronesia	Papunesia	wordlist	NA	0.908889	134.304722	Austronesian	#e41a1c	#984ea3
mara1399	Malakula	Malakula	Maragus	mara1399	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Malakula	-16.0695	167.33	Austronesian	#984ea3	#4daf4a
mari1426	Maewo	Maewo	Sunwadia	mari1426	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Maewo	-14.970047	168.057941	Austronesian	#984ea3	#4daf4a
mars1254	Ratak, Ralik, Anewetak	Ralik, Ratak	Marshallese	mars1254	language	MH	Remote Oceania	Micronesian	Micronesia	Micronesia	Micronesia	Papunesia	grammar	Marshall Islands	8.72	167.73	Austronesian	#e41a1c	#984ea3
mask1242	Malakula	Malakula	Maskelynes	mask1242	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Malakula	-16.5073	167.818	Austronesian	#984ea3	#4daf4a
mele1250	Efate	Efate	Mele-Fila	mele1250	language	VU	Remote Oceania	Polynesian Outlier	Polynesia	Central Pacific	Central Pacific	Papunesia	grammar_sketch	Efate	-17.6841	168.275	Austronesian	#377eb8	#e41a1c
mere1242	Santo	Santo	Merei	mere1242	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar_sketch	Santo	-15.2839	166.905	Austronesian	#984ea3	#4daf4a
merl1237	Merelava group	Merelava group	Merlav	merl1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Northern Vanuatu	Papunesia	wordlist	Merelava group	-14.450679	168.053527	Austronesian	#984ea3	NA
moki1238	Mwoakilloa	Mwoakilloa	Mokilese	moki1238	language	FM	Remote Oceania	Micronesian	Micronesia	Micronesia	Micronesia	Papunesia	grammar	Mwoakilloa	6.65651	159.776	Austronesian	#e41a1c	#984ea3
mori1267	Rekohou	Rekohou	Moriori	maor1246	language	NZ	Remote Oceania	Eastern Polynesia	Polynesia	Central Pacific	Central Pacific	Papunesia	NA	Aotearoa	NA	NA	Austronesian	#377eb8	#e41a1c
moro1286	Santo	Santo	Morouas	moro1286	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Santo	-15.3498	166.891	Austronesian	#984ea3	#4daf4a
mort1237	Oroluk, Mortlock	Mortlock	Mortlockese	mort1237	language	FM	Remote Oceania	Micronesian	Micronesia	Micronesia	Micronesia	Papunesia	grammar_sketch	Mortlock	5.50735	153.710778	Austronesian	#e41a1c	#984ea3
mota1237	Mota	Mota	Mota	mota1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Northern Vanuatu	Papunesia	grammar_sketch	Mota	-13.835361	167.690924	Austronesian	#984ea3	NA
motl1237	Mota Lava	Mota Lava	Mwotlap	motl1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Northern Vanuatu	Papunesia	grammar	Mota Lava	-13.655015	167.706277	Austronesian	#984ea3	NA
mpot1241	Malakula	Malakula	Mpotovoro	mpot1241	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Malakula	-15.8988	167.232	Austronesian	#984ea3	#4daf4a
nalo1235	Nendö	Nendö	Nalögo	nalo1235	language	SB	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Temotu	Papunesia	grammar_sketch	Nendö	-10.8	165.8	Austronesian	#984ea3	NA
nama1268	Tongoa	Tongoa	Namakura	nama1268	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Tongoa	-16.8979	168.569	Austronesian	#984ea3	#4daf4a
namo1247	Namonuito	Namonuito	Namonuito	namo1247	language	FM	Remote Oceania	Micronesian	Micronesia	Micronesia	Micronesia	Papunesia	wordlist	Namonuito	8.584627	149.685202	Austronesian	#e41a1c	#984ea3
