Feature_ID	Proto-language	parsimony_glottolog	parsimony_gray_mcct	parsimony_gray_posteriors	ML_glottolog	ML_gray_mcct	ML_gray_posteriors	most_common_most_common	HL_HL
GB042	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB042	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB042	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB042	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB043	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB043	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB043	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB043	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB044	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB044	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB044	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB044	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB047	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	Present
GB047	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB047	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB047	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB048	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB048	Proto-Central Pacific	Absent	Absent	Absent	Half	Absent	Absent	Absent	
GB048	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB048	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB049	Proto-Oceanic	Present	Present	Present	Present	Half	Half	Half	Present
GB049	Proto-Central Pacific	Present	Present	Present	Present	Half	Present	Half	
GB049	Proto-Polynesian	Present	Present	Present	Present	Half	Present	Half	
GB049	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Half	Absent	Absent	
GB051	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB051	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB051	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB051	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB052	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB052	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB052	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB052	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB053	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB053	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB053	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB053	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB054	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB054	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB054	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB054	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
