glottolog_parsimony_prediction	gray_mcct_parsimony_prediction	gray_posteriors_parsimony_prediction	glottolog_ML_prediction	gray_mcct_ML_prediction	gray_posteriors_ML_prediction	most_common_prediction	HL_prediction	Feature_ID	Proto-language	glottolog_parsimony_prediction_0	glottolog_parsimony_prediction_1	Parsimony result (Glottolog-tree)	ntips_parsimony_glottolog	min_percent_parsimony_glottolog	min_parsimony_glottolog	gray_mcct_parsimony_prediction_0	gray_mcct_parsimony_prediction_1	Parsimony result (Gray et al 2009-tree)	min_percent_parsimony_gray	min_parsimony_gray	ntips_parsimony_gray	gray_posteriors_parsimony_prediction_0	gray_posteriors_parsimony_prediction_1	ntips_parsimony_gray_posteriors	min_percent_parsimony_gray_posteriors	min_parsimony_gray_posteriors	Parsimony result (Gray et al 2009-tree posteriors)	glottolog_ML_prediction_0	glottolog_ML_prediction_1	min_percent_ML_glottolog	min_ML_glottolog	ntips_ML_glottolog	ML result (Glottolog-tree)	gray_mcct_ML_prediction_0	gray_mcct_ML_prediction_1	min_percent_ML_gray	min_ML_gray	ML result (Gray et al 2009-tree)	ntips_ML_gray	ML result (Gray et al 2009-tree posteriors)	ntips_ML_gray_posteriors	min_ML_gray_posteriors	min_percent_ML_gray_posteriors	gray_posteriors_ML_prediction_0	gray_posteriors_ML_prediction_1	ntip_most_common	min_most_common	most_common_prediction_0	most_common_prediction_1	min_percent_most_common	result_most_common	ntips	zeroes_total	ones_total	min_percent	conflict
Present	Present	Present	Present	Present	Present	Present	Present	GB065b	Proto-Oceanic	0	1	True Positive	262	0.23282442748091603	61	0	1	True Positive	0.16793893129770993	22	131	0.02499999999999998	0.975	131	0.16793893129770993	22	True Positive	3.4373494326566338e-6	0.9999965626505672	0.23282442748091603	61	262	True Positive	0.17842864404571876	0.8215713559542813	0.16793893129770993	22	True Positive	131	True Positive	131	22	0.16793893129770993	0.1134613204897641	0.8865386795102359	262	61	0.23282442748091603	0.767175572519084	0.23282442748091603	True Positive	262	61	201	0.23282442748091603	
Present	Present	Present	Present	Present	Present	Present		GB065b	Proto-Central Pacific	0	1		262	0.23282442748091603	61	0	1		0.16793893129770993	22	131	0	1	131	0.16793893129770993	22		5.778427350799188e-4	0.99942215726492	0.23282442748091603	61	262		0.17842864404571876	0.8215713559542812	0.16793893129770993	22		131		131	22	0.16793893129770993	0.06784264317560976	0.9321573568243904	262	61	0.17647058823529413	0.8235294117647058	0.23282442748091603		262	61	201	0.23282442748091603	
Present	Present	Present	Present	Present	Present	Present		GB065b	Proto-Polynesian	0	1		262	0.23282442748091603	61	0	1		0.16793893129770993	22	131	0	1	131	0.16793893129770993	22		0.00343026608986361	0.9965697339101364	0.23282442748091603	61	262		0.1784286440457189	0.8215713559542811	0.16793893129770993	22		131		131	22	0.16793893129770993	0.06258618693944738	0.9374138130605526	262	61	0.1935483870967742	0.8064516129032258	0.23282442748091603		262	61	201	0.23282442748091603	
Present	Present	Present	Present	Present	Present	Present		GB065b	Proto-Eastern Polynesian	0	1		262	0.23282442748091603	61	0	1		0.16793893129770993	22	131	0	1	131	0.16793893129770993	22		0.00854775822091045	0.9914522417790896	0.23282442748091603	61	262		0.17842864404571884	0.8215713559542812	0.16793893129770993	22		131		131	22	0.16793893129770993	0.06156692941527376	0.9384330705847262	262	61	0.1111111111111111	0.8888888888888888	0.23282442748091603		262	61	201	0.23282442748091603	
Half	Half	Present	Absent	Half	Half	Absent	Absent	GB130a	Proto-Central Pacific	0.5	0.5	Half	259	0.2084942084942085	54	0.5	0.5	Half	0.25396825396825395	32	126	0.395	0.605	126	0.25396825396825395	32	False Positive	0.7474416335323505	0.2525583664676495	0.2084942084942085	54	259	True Negative	0.5156455089650587	0.4843544910349412	0.25396825396825395	32	Half	126	Half	126	32	0.25396825396825395	0.44050864511459686	0.5594913548854031	261	56	0.6666666666666666	0.3333333333333333	0.21455938697318008	True Negative	259	54	205	0.2084942084942085	
Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	GB130a	Proto-Polynesian	1	0	True Negative	259	0.2084942084942085	54	1	0	True Negative	0.25396825396825395	32	126	0.7175	0.2825	126	0.25396825396825395	32	True Negative	0.9973782262570898	0.00262177374291013	0.2084942084942085	54	259	True Negative	0.9852949600418164	0.0147050399581835	0.25396825396825395	32	True Negative	126	True Negative	126	32	0.25396825396825395	0.9219754677473042	0.07802453225269579	261	56	0.6551724137931034	0.3448275862068966	0.21455938697318008	True Negative	259	54	205	0.2084942084942085	
Present	Present	Present	Present	Present	Present	Present		GB130a	Proto-Oceanic	0	1		259	0.2084942084942085	54	0	1		0.25396825396825395	32	126	0	1	126	0.25396825396825395	32		0.060904414212935	0.939095585787065	0.2084942084942085	54	259		0.07012176234317413	0.929878237656826	0.25396825396825395	32		126		126	32	0.25396825396825395	0.00180275994355556	0.9981972400564444	261	56	0.21455938697318008	0.7854406130268199	0.21455938697318008		259	54	205	0.2084942084942085	
Absent	Absent	Absent	Absent	Absent	Absent	Absent		GB130a	Proto-Eastern Polynesian	1	0		259	0.2084942084942085	54	1	0		0.25396825396825395	32	126	1	0	126	0.25396825396825395	32		0.9999999973002968	2.6997030992176772e-9	0.2084942084942085	54	259		0.9996840194982216	3.1598050177830033e-4	0.25396825396825395	32		126		126	32	0.25396825396825395	0.9998987223150678	1.0127768493216798e-4	261	56	1	0	0.21455938697318008		259	54	205	0.2084942084942085	
Half	Half	Half	Present	Present	Absent	Present	Present	GB130b	Proto-Central Pacific	0.5	0.5	Half	259	0.23938223938223935	62	0.5	0.5	Half	0.30158730158730157	38	126	0.5966666666666667	0.4033333333333333	126	0.30158730158730157	38	Half	0.03428139602791795	0.965718603972082	0.23938223938223935	62	259	True Positive	0.364105346328339	0.635894653671661	0.30158730158730157	38	True Positive	126	False Negative	126	38	0.30158730158730157	0.6038864554852995	0.3961135445147005	261	64	0.30303030303030304	0.696969696969697	0.24521072796934865	True Positive	259	197	62	0.23938223938223935	
Present	Present	Present	Present	Present	Present	Present	Present	GB130b	Proto-Polynesian	0	1	True Positive	259	0.23938223938223935	62	0	1	True Positive	0.30158730158730157	38	126	0.2798333333333333	0.7201666666666666	126	0.30158730158730157	38	True Positive	0.00107673664811162	0.9989232633518884	0.23938223938223935	62	259	True Positive	0.02026161463634196	0.979738385363658	0.30158730158730157	38	True Positive	126	True Positive	126	38	0.30158730158730157	0.09062491683476896	0.909375083165231	261	64	0.3103448275862069	0.6896551724137931	0.24521072796934865	True Positive	259	197	62	0.23938223938223935	
