Grambank ID,Abbreviation,Question,Proto-language,Finding from Historical Linguistics,Historical Linguistics sources
GB093,P-ArgSfxV,Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?,Proto-Oceanic,Present,"\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}, \citet[112]{evans2003study}"
GB115,RecipBoundV,Is there a phonologically bound reciprocal marker on the verb?,Proto-Polynesian,Present,\citet[4]{marck2000 encyclo}
GB333,NUMDecimal,Is there a decimal numeral system?,Proto-Oceanic,Present,\citet[72]{lynchrosscrowley_proto_grammar_oceanic}
GB430,POSSPfxPosr,Can adnominal possession be marked by a prefix on the possessor?,Proto-Oceanic,Absent,\citet[511]{ross2004morphosyntactic}
GB433,POSSSfxPosd,Can adnominal possession be marked by a suffix on the possessed noun?,Proto-Oceanic,Present,"\citet[495]{ross2004morphosyntactic}, \citet[155]{pawley1973some}"
GB028,Clusivity,Is there a distinction between inclusive and exclusive?,Proto-Oceanic,Present,"\citet[112]{pawley1973some}, \citet[184]{crowley1985common}, \citet[500]{ross2004morphosyntactic}, \citet[67, 75]{lynchrosscrowley_proto_grammar_oceanic}"
GB074,Prepositions,Are there prepositions?,Proto-Oceanic,Present,"\citet[167]{pawley1973some}, \citet[498]{ross2004morphosyntactic}"
GB058,POSSClassifier,Are there possessive classifiers?,Proto-Oceanic,Present,"\citet[154]{pawley1973some}, \citet[498]{ross2004morphosyntactic}, \citet[69, 77]{lynchrosscrowley_proto_grammar_oceanic}"
GB318,PluralFree,Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?,Proto-Polynesian,Present,\citet[59]{clark1976aspects}
GB131,TransVInitOrder,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,Proto-Polynesian,Present,"\citet[4]{marck2000 encyclo}, \citet[15]{chung1978}, \citet[118]{pawley1973some}"
GB131,TransVInitOrder,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,Proto-Polynesian,Present,\citet[122]{kikusawa2002proto}
GB193b,OrderNANM,Is the order of the adnominal property and the noun N-ANM?,Proto-Oceanic,Present,"\citet[497]{ross2004morphosyntactic}, \citet[74]{lynchrosscrowley_proto_grammar_oceanic}"
GB091,A-ArgSfxV,Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?,Proto-Oceanic,Absent,"\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}"
GB094,P-ArgPfxV,Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?,Proto-Oceanic,Absent,"\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}"
GB260,QWordOrder,Can polar interrogation be indicated by a special word order?,Proto-Oceanic,Absent,\citet[89]{lynchrosscrowley_proto_grammar_oceanic}
GB130b,OrderVS,Is the order of S and V in intranstive clauses VS?,Proto-Polynesian,Present,\citet[122]{kikusawa2002proto}
GB158,RedupV,Are verbs reduplicated?,Proto-Oceanic,Present,"\citet[84]{lynchrosscrowley_proto_grammar_oceanic}, \citet[112]{evans2003study}"
GB115,RecipBoundV,Is there a phonologically bound reciprocal marker on the verb?,Proto-Central Pacific,Present,"\citet[352]{pawley1970change}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}"
GB092,A-ArgPfxV,Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?,Proto-Oceanic,Present,"\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}"
GB130a,OrderSV,Is the order of S and V in intranstive clauses SV?,Proto-Polynesian,Absent,\citet[122]{kikusawa2002proto}
GB521,TenseAuxPart,"Can tense be marked by a non-inflecting word (""auxiliary particle"")?",Proto-Central Pacific,Present,\citet[347]{pawley1970change}
GB090,S-ArgPfxV,Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?,Proto-Oceanic,Present,"\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}"
GB025b,OrderNDEM,Is the order of adnominal demonstratives and nouns N-Dem?,Proto-Oceanic,Present,\citet[72]{lynchrosscrowley_proto_grammar_oceanic}
GB030,PRO3PGender,Is there a gender distinction in independent 3rd person pronouns?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB031,PRODualAug,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,Proto-Oceanic,Present,"\citet[498]{ross2004morphosyntactic}, \citet[109]{kikusawa2001rotuman}, \citet[69]{lynchrosscrowley_proto_grammar_oceanic}, \citet[173]{pawley1973some}"
GB035,DEMDistContrast,Are there three or more distance contrasts in demonstratives?,Proto-Oceanic,Present,\citet[72]{lynchrosscrowley_proto_grammar_oceanic}
GB051,GenderSex,Is there a gender/noun class system where sex is a factor in class assignment?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB054,GenderPlants,Is there a gender/noun class system where plant status is a factor in class assignment?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB065b,OrderPosdPosr,Is the order of possessor noun and possessed noun possessed-possessor?,Proto-Oceanic,Present,"\citet[155-156]{pawley1973some}, \citet[512]{ross2004morphosyntactic}, \citet[77]{lynchrosscrowley_proto_grammar_oceanic}"
GB075,Postpositions,Are there postpositions?,Proto-Oceanic,Absent,\citet[500]{ross2004morphosyntactic}
GB113,TransitivizingBound,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,Proto-Oceanic,Present,"\citet[171]{pawley1973some}, \citet[123]{wilson1982proto}, \citet[80, 92]{lynchrosscrowley_proto_grammar_oceanic}, \citet[112]{evans2003study}"
GB117,CopulaPredNom,Is there a copula for predicate nominals?,Proto-Oceanic,Absent,\citet[86]{lynchrosscrowley_proto_grammar_oceanic}
GB170,ADJGender,Can an adnominal property word agree with the noun in gender/noun class?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB172,ARTGender,Can an article agree with the noun in gender/noun class?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB192,GenderPhono,Is there a gender system where a noun's phonological properties are a factor in class assignment?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB198,NUMGender,Can an adnominal numeral agree with the noun in gender/noun class?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB431,POSSPfxPosd,Can adnominal possession be marked by a prefix on the possessed noun?,Proto-Oceanic,Absent,"\citet[117]{pawley1973some}, \citet[494, 497]{ross2004morphosyntactic}"
GB432,POSSSfxPosr,Can adnominal possession be marked by a suffix on the possessor?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB082,PresentBoundV,Is there overt morphological marking of present tense on verbs?,Proto-Oceanic,Absent,\citet[84]{lynchrosscrowley_proto_grammar_oceanic}
GB521,TenseAuxPart,"Can tense be marked by a non-inflecting word (""auxiliary particle"")?",Proto-Oceanic,Absent,\citet[84]{lynchrosscrowley_proto_grammar_oceanic}
GB264,QPartMedial,Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?,Proto-Oceanic,Absent,\citet[89]{lynchrosscrowley_proto_grammar_oceanic}
GB023,ARTPost,Are there postnominal articles?,Proto-Oceanic,Absent,"\citet[112]{pawley1973some}, \citet[498]{ross2004morphosyntactic}"
GB047,NMZActionState,Is there a productive morphological pattern for deriving an action/state noun from a verb?,Proto-Oceanic,Present,\citet[70]{lynchrosscrowley_proto_grammar_oceanic}
GB052,GenderShape,Is there a gender/noun class system where shape is a factor in class assignment?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB053,GenderAnimacy,Is there a gender/noun class system where animacy is a factor in class assignment?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB059,POSSAlienability,Is the adnominal possessive construction different for alienable and inalienable nouns?,Proto-Oceanic,Present,"\citet[492, 511-512]{ross2004morphosyntactic}, \citet[69]{lynchrosscrowley_proto_grammar_oceanic}"
GB079,VPrefixing,"Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",Proto-Oceanic,Present,"\citet[142]{pawley1973some}, \citet[292]{ross2007two}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}"
GB089,S-ArgSfxV,Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?,Proto-Oceanic,Absent,"\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}"
GB115,RecipBoundV,Is there a phonologically bound reciprocal marker on the verb?,Proto-Oceanic,Present,"\citet[172]{pawley1973some}, \citet[495, 513]{ross2004morphosyntactic}"
GB155,CAUSBound,Are causatives formed by affixes or clitics on verbs?,Proto-Oceanic,Present,"\citet[74, 83]{lynchrosscrowley_proto_grammar_oceanic}, \citet[130]{pawley1973some}, \citet[344]{evans2003study}"
GB171,DEMGender,Can an adnominal demonstrative agree with the noun in gender/noun class?,Proto-Oceanic,Absent,\citet[498]{ross2004morphosyntactic}
GB193a,OrderANMN,Is the order of the adnominal property and the noun ANM-N?,Proto-Oceanic,Absent,"\citet[497]{ross2004morphosyntactic}, \citet[74]{lynchrosscrowley_proto_grammar_oceanic}"
GB285,QPartVMorph,Can polar interrogation be marked by a question particle and verbal morphology?,Proto-Oceanic,Absent,\citet[89]{lynchrosscrowley_proto_grammar_oceanic}
GB286,QVMorph,Can polar interrogation be indicated by overt verbal morphology only?,Proto-Oceanic,Absent,\citet[89]{lynchrosscrowley_proto_grammar_oceanic}
GB291,QTone,Can polar interrogation be marked by tone?,Proto-Oceanic,Absent,\citet[89]{lynchrosscrowley_proto_grammar_oceanic}
GB299,NEGPart,"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?",Proto-Oceanic,Present,\citet[88]{lynchrosscrowley_proto_grammar_oceanic}
GB083,PastBoundV,Is there overt morphological marking on the verb dedicated to past tense?,Proto-Oceanic,Absent,\citet[84]{lynchrosscrowley_proto_grammar_oceanic}
GB084,FutureBoundV,Is there overt morphological marking on the verb dedicated to future tense?,Proto-Oceanic,Absent,\citet[84]{lynchrosscrowley_proto_grammar_oceanic}
GB121,AUXTense,"Can tense be marked by an inflecting word (""auxiliary verb"")?",Proto-Oceanic,Absent,\citet[84]{lynchrosscrowley_proto_grammar_oceanic}
GB312,MoodBoundV,Is there overt morphological marking on the verb dedicated to mood?,Proto-Oceanic,Present,\citet[84]{lynchrosscrowley_proto_grammar_oceanic}
GB131,TransVInitOrder,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,Proto-Central Pacific,Present,\citet[122]{kikusawa2002proto}
GB522,PRODrop,"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?",Proto-Oceanic,Present,\citet[495]{ross2004morphosyntactic}
GB262,QPartInitial,Is there a clause-initial polar interrogative particle?,Proto-Oceanic,Absent,\citet[89]{lynchrosscrowley_proto_grammar_oceanic}
GB132,TransVMedOrder,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,Proto-Oceanic,Present,"\citet[497]{ross2004morphosyntactic}, \citet[117]{pawley1973some}"
GB297,QVNotV,Can polar interrogation be indicated by a V-not-V construction?,Proto-Oceanic,Absent,\citet[89]{lynchrosscrowley_proto_grammar_oceanic}
GB065a,OrderPosrPosd,Is the order of possessor noun and possessed noun possessor-possessed?,Proto-Oceanic,Present,"\citet[76]{lynchrosscrowley_proto_grammar_oceanic}, \citet[155-156]{pawley1973some}"
GB022,ARTPre,Are there prenominal articles?,Proto-Oceanic,Present,"\citet{crowley1985common}, \citet[70]{lynchrosscrowley_proto_grammar_oceanic}, \citet[112]{pawley1973some}"
GB105,CaseRecipientObj,Can the recipient in a ditransitive construction be marked like the monotransitive patient?,Proto-Oceanic,Absent,\citet[118]{pawley1973some}
GB131,TransVInitOrder,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,Proto-Oceanic,Present,"\citet[118]{pawley1973some}, \citet[86]{lynchrosscrowley_proto_grammar_oceanic}"
GB140,SameNEGLocExistNom,"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?",Proto-Eastern Polynesian,Absent,\citet[130]{clark1976aspects}
GB159,RedupNoun,Are nouns reduplicated?,Proto-Oceanic,Present,\citet[70]{lynchrosscrowley_proto_grammar_oceanic}
GB130a,OrderSV,Is the order of S and V in intranstive clauses SV?,Proto-Central Pacific,Absent,\citet[122]{kikusawa2002proto}
GB132,TransVMedOrder,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,Proto-Polynesian,Absent,"\cite[15]{chung1978}, \citet[118]{pawley1973some}"
GB132,TransVMedOrder,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,Proto-Polynesian,Absent,\citet[122]{kikusawa2002proto}
GB132,TransVMedOrder,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,Proto-Central Pacific,Absent,\citet[122]{kikusawa2002proto}
GB133,TransVFinalOrder,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,Proto-Oceanic,Present,\citet[118]{pawley1973some}
GB068,PredAdjLikeV,"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",Proto-Oceanic,Present,"\citet[63, 74]{lynchrosscrowley_proto_grammar_oceanic}, \citet[113]{pawley1973some}"
GB049,NMZObject,Is there a productive morphological pattern for deriving an object noun from a verb?,Proto-Oceanic,Present,\citet[70]{lynchrosscrowley_proto_grammar_oceanic}
GB130b,OrderVS,Is the order of S and V in intranstive clauses VS?,Proto-Central Pacific,Present,\citet[122]{kikusawa2002proto}
GB086,AspectBoundV,Is a morphological distinction between perfective and imperfective aspect available on verbs?,Proto-Oceanic,Present,\citet[84]{lynchrosscrowley_proto_grammar_oceanic}
GB140,SameNEGLocExistNom,"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?",Proto-Oceanic,Absent,"\citet[143-6]{pawley1973some}, \citet[88]{lynchrosscrowley_proto_grammar_oceanic}"
