Feature_ID	Proto-language	gray_ML_prediction_0	gray_ML_prediction_1	ntips_ML_gray	min_ML_gray	min_percent_ML_gray	gray_ML_prediction	Prediction	ML result (Gray et al 2009-tree posteriors)
GB065b	Proto-Oceanic	0.1134613204897641	0.8865386795102359	131	22	0.16793893129770993	Present	1	True Positive
GB065b	Proto-Polynesian	0.06258618693944738	0.9374138130605526	131	22	0.16793893129770993	Present	NA	NA
GB068	Proto-Central Pacific	0.27728413557990633	0.7227158644200937	112	31	0.2767857142857143	Present	NA	NA
GB068	Proto-Eastern Polynesian	0.2754981553638919	0.7245018446361081	112	31	0.2767857142857143	Present	NA	NA
GB068	Proto-Oceanic	0.2777189326776619	0.7222810673223381	112	31	0.2767857142857143	Present	1	True Positive
GB068	Proto-Polynesian	0.2769892731454979	0.7230107268545021	112	31	0.2767857142857143	Present	NA	NA
GB069	Proto-Central Pacific	0.62498312856343885	0.3750168714365612	104	39	0.375	Absent	NA	NA
GB069	Proto-Eastern Polynesian	0.6249894010293598	0.37501059897064015	104	39	0.375	Absent	NA	NA
GB069	Proto-Oceanic	0.6249831173864021	0.37501688261359795	104	39	0.375	Absent	NA	NA
GB069	Proto-Polynesian	0.6249832986369523	0.37501670136304766	104	39	0.375	Absent	NA	NA
GB070	Proto-Central Pacific	0.9434634883791653	0.05653651162083476	124	7	0.05645161290322581	Absent	NA	NA
GB070	Proto-Eastern Polynesian	0.9434637564894466	0.05653624351055338	124	7	0.05645161290322581	Absent	NA	NA
GB070	Proto-Oceanic	0.943463488420984	0.056536511579016	124	7	0.05645161290322581	Absent	NA	NA
GB070	Proto-Polynesian	0.9434634791434624	0.05653652085653763	124	7	0.05645161290322581	Absent	0	True Negative
GB071	Proto-Central Pacific	0.7660616267955401	0.23393837320445984	124	29	0.2338709677419355	Absent	0	True Negative
GB071	Proto-Eastern Polynesian	0.7660750602433539	0.2339249397566461	124	29	0.2338709677419355	Absent	NA	NA
GB071	Proto-Oceanic	0.7660444312827372	0.23395556871726278	124	29	0.2338709677419355	Absent	NA	NA
GB071	Proto-Polynesian	0.7666658861620821	0.23333411383791794	124	29	0.2338709677419355	Absent	NA	NA
GB072	Proto-Central Pacific	0.8786126053680035	0.12138739463199652	122	19	0.1557377049180328	Absent	NA	NA
GB072	Proto-Eastern Polynesian	0.9682811360726135	0.03171886392738659	122	19	0.1557377049180328	Absent	NA	NA
GB072	Proto-Oceanic	0.809600780349856	0.19039921965014392	122	19	0.1557377049180328	Absent	NA	NA
GB072	Proto-Polynesian	0.9626594475203574	0.03734055247964266	122	19	0.1557377049180328	Absent	NA	NA
GB073	Proto-Central Pacific	0.7253313873954275	0.2746686126045725	120	33	0.275	Absent	0	True Negative
GB073	Proto-Eastern Polynesian	0.7376167543863824	0.26238324561361764	120	33	0.275	Absent	NA	NA
GB073	Proto-Oceanic	0.7229115161897727	0.2770884838102273	120	33	0.275	Absent	NA	NA
GB073	Proto-Polynesian	0.7347396334947328	0.2652603665052672	120	33	0.275	Absent	NA	NA
GB074	Proto-Central Pacific	7.993515413354154e-4	0.9992006484586646	128	9	0.0703125	Present	NA	NA
GB074	Proto-Eastern Polynesian	1.5467929889745824e-5	0.9999845320701103	128	9	0.0703125	Present	NA	NA
GB074	Proto-Oceanic	0.07691750449934943	0.9230824955006506	128	9	0.0703125	Present	1	True Positive
GB074	Proto-Polynesian	1.1021240007876572e-4	0.9998897875999212	128	9	0.0703125	Present	1	True Positive
GB075	Proto-Central Pacific	0.9990329945670112	9.670054329887823e-4	122	15	0.12295081967213117	Absent	NA	NA
GB075	Proto-Eastern Polynesian	0.9999787204185655	2.127958143445293e-5	122	15	0.12295081967213117	Absent	NA	NA
GB075	Proto-Oceanic	0.896114830861927	0.10388516913807302	122	15	0.12295081967213117	Absent	0	True Negative
GB075	Proto-Polynesian	0.9998801189468105	1.198810531894625e-4	122	15	0.12295081967213117	Absent	NA	NA
GB079	Proto-Central Pacific	0.09162352293335484	0.9083764770666451	131	12	0.0916030534351145	Present	1	True Positive
GB079	Proto-Eastern Polynesian	0.09162360222287853	0.9083763977771214	131	12	0.0916030534351145	Present	NA	NA
GB079	Proto-Oceanic	0.09162352293072927	0.9083764770692707	131	12	0.0916030534351145	Present	1	True Positive
GB079	Proto-Polynesian	0.09162352298795	0.90837647701205	131	12	0.0916030534351145	Present	NA	NA
GB080	Proto-Central Pacific	0.1975697502969866	0.8024302497030135	130	26	0.2	Present	NA	NA
GB080	Proto-Eastern Polynesian	0.6936243966584046	0.30637560334159536	130	26	0.2	Absent	NA	NA
GB080	Proto-Oceanic	0.1493293995838914	0.8506706004161086	130	26	0.2	Present	NA	NA
GB080	Proto-Polynesian	0.4624942717569888	0.5375057282430112	130	26	0.2	Half	NA	NA
GB081	Proto-Central Pacific	0.9987385241485244	0.0012614758514756688	122	10	0.08196721311475409	Absent	NA	NA
GB081	Proto-Eastern Polynesian	0.999454770747441	5.452292525589863e-4	122	10	0.08196721311475409	Absent	NA	NA
