Feature_ID	Proto-language	Language_ID	Prediction	Historical Linguistics sources
GB114	Proto-Eastern Polynesian	east2449	NA	NA
GB115	Proto-Eastern Polynesian	east2449	NA	NA
GB116	Proto-Eastern Polynesian	east2449	NA	NA
GB117	Proto-Eastern Polynesian	east2449	NA	NA
GB118	Proto-Eastern Polynesian	east2449	NA	NA
GB119	Proto-Eastern Polynesian	east2449	NA	NA
GB120	Proto-Eastern Polynesian	east2449	NA	NA
GB121	Proto-Eastern Polynesian	east2449	NA	NA
GB122	Proto-Eastern Polynesian	east2449	NA	NA
GB123	Proto-Eastern Polynesian	east2449	NA	NA
GB124	Proto-Eastern Polynesian	east2449	NA	NA
GB126	Proto-Eastern Polynesian	east2449	NA	NA
GB127	Proto-Eastern Polynesian	east2449	NA	NA
GB129	Proto-Eastern Polynesian	east2449	NA	NA
GB130	Proto-Eastern Polynesian	east2449	NA	NA
GB131	Proto-Eastern Polynesian	east2449	NA	NA
GB132	Proto-Eastern Polynesian	east2449	NA	NA
GB133	Proto-Eastern Polynesian	east2449	NA	NA
GB134	Proto-Eastern Polynesian	east2449	NA	NA
GB135	Proto-Eastern Polynesian	east2449	NA	NA
GB136	Proto-Eastern Polynesian	east2449	NA	NA
GB137	Proto-Eastern Polynesian	east2449	NA	NA
GB138	Proto-Eastern Polynesian	east2449	NA	NA
GB139	Proto-Eastern Polynesian	east2449	NA	NA
GB146	Proto-Eastern Polynesian	east2449	NA	NA
GB148	Proto-Eastern Polynesian	east2449	NA	NA
GB149	Proto-Eastern Polynesian	east2449	NA	NA
GB150	Proto-Eastern Polynesian	east2449	NA	NA
GB151	Proto-Eastern Polynesian	east2449	NA	NA
GB152	Proto-Eastern Polynesian	east2449	NA	NA
GB155	Proto-Eastern Polynesian	east2449	NA	NA
GB156	Proto-Eastern Polynesian	east2449	NA	NA
GB158	Proto-Eastern Polynesian	east2449	NA	NA
GB159	Proto-Eastern Polynesian	east2449	NA	NA
GB160	Proto-Eastern Polynesian	east2449	NA	NA
GB165	Proto-Eastern Polynesian	east2449	NA	NA
GB166	Proto-Eastern Polynesian	east2449	NA	NA
GB167	Proto-Eastern Polynesian	east2449	NA	NA
GB170	Proto-Eastern Polynesian	east2449	NA	NA
GB171	Proto-Eastern Polynesian	east2449	NA	NA
GB172	Proto-Eastern Polynesian	east2449	NA	NA
GB177	Proto-Eastern Polynesian	east2449	NA	NA
GB184	Proto-Eastern Polynesian	east2449	NA	NA
GB185	Proto-Eastern Polynesian	east2449	NA	NA
GB186	Proto-Eastern Polynesian	east2449	NA	NA
GB187	Proto-Eastern Polynesian	east2449	NA	NA
GB188	Proto-Eastern Polynesian	east2449	NA	NA
GB192	Proto-Eastern Polynesian	east2449	NA	NA
GB193	Proto-Eastern Polynesian	east2449	NA	NA
GB196	Proto-Eastern Polynesian	east2449	NA	NA
GB197	Proto-Eastern Polynesian	east2449	NA	NA
GB198	Proto-Eastern Polynesian	east2449	NA	NA
GB203	Proto-Eastern Polynesian	east2449	NA	NA
GB204	Proto-Eastern Polynesian	east2449	NA	NA
GB250	Proto-Eastern Polynesian	east2449	NA	NA
GB252	Proto-Eastern Polynesian	east2449	NA	NA
GB253	Proto-Eastern Polynesian	east2449	NA	NA
GB254	Proto-Eastern Polynesian	east2449	NA	NA
GB256	Proto-Eastern Polynesian	east2449	NA	NA
GB257	Proto-Eastern Polynesian	east2449	NA	NA
GB260	Proto-Eastern Polynesian	east2449	NA	NA
GB262	Proto-Eastern Polynesian	east2449	NA	NA
GB263	Proto-Eastern Polynesian	east2449	NA	NA
GB264	Proto-Eastern Polynesian	east2449	NA	NA
GB265	Proto-Eastern Polynesian	east2449	NA	NA
GB266	Proto-Eastern Polynesian	east2449	NA	NA
GB270	Proto-Eastern Polynesian	east2449	NA	NA
GB273	Proto-Eastern Polynesian	east2449	NA	NA
GB275	Proto-Eastern Polynesian	east2449	NA	NA
GB276	Proto-Eastern Polynesian	east2449	NA	NA
GB285	Proto-Eastern Polynesian	east2449	NA	NA
GB286	Proto-Eastern Polynesian	east2449	NA	NA
GB291	Proto-Eastern Polynesian	east2449	NA	NA
GB296	Proto-Eastern Polynesian	east2449	NA	NA
GB297	Proto-Eastern Polynesian	east2449	NA	NA
GB298	Proto-Eastern Polynesian	east2449	NA	NA
GB299	Proto-Eastern Polynesian	east2449	NA	NA
GB300	Proto-Eastern Polynesian	east2449	NA	NA
GB301	Proto-Eastern Polynesian	east2449	NA	NA
GB302	Proto-Eastern Polynesian	east2449	NA	NA
GB303	Proto-Eastern Polynesian	east2449	NA	NA
GB304	Proto-Eastern Polynesian	east2449	NA	NA
GB305	Proto-Eastern Polynesian	east2449	NA	NA
GB306	Proto-Eastern Polynesian	east2449	NA	NA
GB309	Proto-Eastern Polynesian	east2449	NA	NA
GB312	Proto-Eastern Polynesian	east2449	NA	NA
GB313	Proto-Eastern Polynesian	east2449	NA	NA
GB314	Proto-Eastern Polynesian	east2449	NA	NA
GB315	Proto-Eastern Polynesian	east2449	NA	NA
GB316	Proto-Eastern Polynesian	east2449	NA	NA
GB317	Proto-Eastern Polynesian	east2449	NA	NA
GB318	Proto-Eastern Polynesian	east2449	NA	NA
GB319	Proto-Eastern Polynesian	east2449	NA	NA
GB320	Proto-Eastern Polynesian	east2449	NA	NA
GB321	Proto-Eastern Polynesian	east2449	NA	NA
GB322	Proto-Eastern Polynesian	east2449	NA	NA
GB323	Proto-Eastern Polynesian	east2449	NA	NA
GB324	Proto-Eastern Polynesian	east2449	NA	NA
GB325	Proto-Eastern Polynesian	east2449	NA	NA
GB326	Proto-Eastern Polynesian	east2449	NA	NA
GB327	Proto-Eastern Polynesian	east2449	NA	NA
GB328	Proto-Eastern Polynesian	east2449	NA	NA
GB329	Proto-Eastern Polynesian	east2449	NA	NA
GB330	Proto-Eastern Polynesian	east2449	NA	NA
GB331	Proto-Eastern Polynesian	east2449	NA	NA
GB333	Proto-Eastern Polynesian	east2449	NA	NA
GB334	Proto-Eastern Polynesian	east2449	NA	NA
GB335	Proto-Eastern Polynesian	east2449	NA	NA
GB336	Proto-Eastern Polynesian	east2449	NA	NA
GB400	Proto-Eastern Polynesian	east2449	NA	NA
GB401	Proto-Eastern Polynesian	east2449	NA	NA
GB402	Proto-Eastern Polynesian	east2449	NA	NA
GB403	Proto-Eastern Polynesian	east2449	NA	NA
GB410	Proto-Eastern Polynesian	east2449	NA	NA
GB415	Proto-Eastern Polynesian	east2449	NA	NA
GB421	Proto-Eastern Polynesian	east2449	NA	NA
GB422	Proto-Eastern Polynesian	east2449	NA	NA
GB430	Proto-Eastern Polynesian	east2449	NA	NA
GB431	Proto-Eastern Polynesian	east2449	NA	NA
GB432	Proto-Eastern Polynesian	east2449	NA	NA
GB433	Proto-Eastern Polynesian	east2449	NA	NA
GB519	Proto-Eastern Polynesian	east2449	NA	NA
GB520	Proto-Eastern Polynesian	east2449	NA	NA
GB521	Proto-Eastern Polynesian	east2449	NA	NA
GB522	Proto-Eastern Polynesian	east2449	NA	NA
GB133	Proto-Polynesian	poly1242	0	\cite[15]{chung1978}, \citet[118]{pawley1973some}, \citet[122]{kikusawa2002proto}
GB132	Proto-Polynesian	poly1242	0	\cite[15]{chung1978}, \citet[118]{pawley1973some}, \citet[122]{kikusawa2002proto}
GB147	Proto-Polynesian	poly1242	1	\cite[261-261]{chung1978}
GB070	Proto-Polynesian	poly1242	0	\cite[261-261]{chung1978}
GB130	Proto-Polynesian	poly1242	2	\citet[122]{kikusawa2002proto}
GB299	Proto-Polynesian	poly1242	1	\citet[130]{clark1976aspects}
GB139	Proto-Polynesian	poly1242	1	\citet[142]{pawley1973some}, \citet[292]{ross2007two}, \citet[xiii, 125]{clark1976aspects}, \citet[89]{lynchrosscrowley_proto_grammar_oceanic}
GB519	Proto-Polynesian	poly1242	1	\citet[20]{chung1978}
GB520	Proto-Polynesian	poly1242	1	\citet[20]{chung1978}
GB020	Proto-Polynesian	poly1242	1	\citet[23]{chung1978}, \citet[53]{clark1976aspects}
GB021	Proto-Polynesian	poly1242	1	\citet[23]{chung1978}, \citet[53]{clark1976aspects}, \citet[73]{lynchrosscrowley_proto_grammar_oceanic}
GB074	Proto-Polynesian	poly1242	1	\citet[26]{chung1978}, \citet[24, 43]{clark1976aspects}
GB522	Proto-Polynesian	poly1242	1	\citet[30]{chung1978}
GB028	Proto-Polynesian	poly1242	1	\citet[4]{marck2000 encyclo}
GB031	Proto-Polynesian	poly1242	1	\citet[4]{marck2000 encyclo}
GB115	Proto-Polynesian	poly1242	1	\citet[4]{marck2000 encyclo}
GB131	Proto-Polynesian	poly1242	1	\citet[4]{marck2000 encyclo}, \citet[15]{chung1978}, \citet[118]{pawley1973some}, \citet[122]{kikusawa2002proto}
GB059	Proto-Polynesian	poly1242	1	\citet[4]{marck2000 encyclo}, \citet[47]{clark1976aspects}
GB113	Proto-Polynesian	poly1242	1	\citet[4]{marck2000_encyclo}, \citet[57]{jonsson1998}, \citet[352]{pawley1970change}
GB193	Proto-Polynesian	poly1242	2	\citet[495]{ross2004morphosyntactic}; \citet[xiv]{clark1976aspects}
GB318	Proto-Polynesian	poly1242	1	\citet[59]{clark1976aspects}
GB327	Proto-Polynesian	poly1242	1	\citet[74]{clark1976aspects}
GB328	Proto-Polynesian	poly1242	0	\citet[74]{clark1976aspects}
GB035	Proto-Polynesian	poly1242	1	\citet[77]{clark1976aspects}
GB022	Proto-Polynesian	poly1242	1	\citet[xiv]{clark1976aspects}, \citet[23]{chung1978}, \citet[53]{clark1976aspects} , \citet[136]{crowley1985common}
GB023	Proto-Polynesian	poly1242	NA	NA
GB024	Proto-Polynesian	poly1242	NA	NA
GB025	Proto-Polynesian	poly1242	NA	NA
GB026	Proto-Polynesian	poly1242	NA	NA
GB027	Proto-Polynesian	poly1242	NA	NA
GB030	Proto-Polynesian	poly1242	NA	NA
GB036	Proto-Polynesian	poly1242	NA	NA
GB037	Proto-Polynesian	poly1242	NA	NA
GB038	Proto-Polynesian	poly1242	NA	NA
GB039	Proto-Polynesian	poly1242	NA	NA
GB041	Proto-Polynesian	poly1242	NA	NA
GB042	Proto-Polynesian	poly1242	NA	NA
GB043	Proto-Polynesian	poly1242	NA	NA
GB044	Proto-Polynesian	poly1242	NA	NA
GB046	Proto-Polynesian	poly1242	NA	NA
GB047	Proto-Polynesian	poly1242	NA	NA
GB048	Proto-Polynesian	poly1242	NA	NA
GB049	Proto-Polynesian	poly1242	NA	NA
GB051	Proto-Polynesian	poly1242	NA	NA
GB052	Proto-Polynesian	poly1242	NA	NA
GB053	Proto-Polynesian	poly1242	NA	NA
GB054	Proto-Polynesian	poly1242	NA	NA
GB057	Proto-Polynesian	poly1242	NA	NA
GB058	Proto-Polynesian	poly1242	NA	NA
GB065	Proto-Polynesian	poly1242	NA	NA
GB068	Proto-Polynesian	poly1242	NA	NA
GB069	Proto-Polynesian	poly1242	NA	NA
GB071	Proto-Polynesian	poly1242	NA	NA
GB072	Proto-Polynesian	poly1242	NA	NA
GB073	Proto-Polynesian	poly1242	NA	NA
GB075	Proto-Polynesian	poly1242	NA	NA
GB079	Proto-Polynesian	poly1242	NA	NA
GB080	Proto-Polynesian	poly1242	NA	NA
GB081	Proto-Polynesian	poly1242	NA	NA
GB082	Proto-Polynesian	poly1242	NA	NA
GB083	Proto-Polynesian	poly1242	NA	NA
