Feature_ID	Proto-language	gray_ML_prediction_0	gray_ML_prediction_1	ntips_ML_gray	min_ML_gray	min_percent_ML_gray	gray_ML_prediction	Prediction	ML result (Gray et al 2009-tree posteriors)
GB049	Proto-Central Pacific	0.3533468508862387	0.6466531491137613	102	41	0.4019607843137255	Present	NA	NA
GB049	Proto-Eastern Polynesian	0.6278602231139288	0.37213977688607125	102	41	0.4019607843137255	Absent	NA	NA
GB049	Proto-Oceanic	0.40091512046415684	0.5990848795358432	102	41	0.4019607843137255	Half	1	Half
GB049	Proto-Polynesian	0.3654022924624889	0.6345977075375111	102	41	0.4019607843137255	Present	NA	NA
GB051	Proto-Central Pacific	0.9993026522394275	6.973477605724908e-4	124	2	0.016129032258064516	Absent	NA	NA
GB051	Proto-Eastern Polynesian	0.9995712394404044	4.2876055959566997e-4	124	2	0.016129032258064516	Absent	NA	NA
GB051	Proto-Oceanic	0.9993835473932279	6.164526067720769e-4	124	2	0.016129032258064516	Absent	0	True Negative
GB051	Proto-Polynesian	0.999496135136202	5.03864863798047e-4	124	2	0.016129032258064516	Absent	NA	NA
GB052	Proto-Central Pacific	0.9937567229991655	0.006243277000834473	123	3	0.024390243902439025	Absent	NA	NA
GB052	Proto-Eastern Polynesian	0.9994409145230225	5.590854769774714e-4	123	3	0.024390243902439025	Absent	NA	NA
GB052	Proto-Oceanic	0.9968844153735217	0.003115584626478293	123	3	0.024390243902439025	Absent	0	True Negative
GB052	Proto-Polynesian	0.9988242700754665	0.0011757299245335178	123	3	0.024390243902439025	Absent	NA	NA
GB053	Proto-Central Pacific	0.9359307899928668	0.06406921000713313	121	9	0.0743801652892562	Absent	NA	NA
GB053	Proto-Eastern Polynesian	0.9953169164717741	0.004683083528225883	121	9	0.0743801652892562	Absent	NA	NA
GB053	Proto-Oceanic	0.9222181253901243	0.07778187460987579	121	9	0.0743801652892562	Absent	0	True Negative
GB053	Proto-Polynesian	0.9883607791052259	0.011639220894774104	121	9	0.0743801652892562	Absent	NA	NA
GB054	Proto-Central Pacific	0.9991932213801272	8.067786198727857e-4	121	3	0.024793388429752067	Absent	NA	NA
GB054	Proto-Eastern Polynesian	0.9994900248524019	5.099751475980945e-4	121	3	0.024793388429752067	Absent	NA	NA
GB054	Proto-Oceanic	0.9991848630498289	8.151369501710623e-4	121	3	0.024793388429752067	Absent	0	True Negative
GB054	Proto-Polynesian	0.9993392794601624	6.607205398375642e-4	121	3	0.024793388429752067	Absent	NA	NA
GB057	Proto-Central Pacific	0.2985612418437671	0.7014387581562329	121	40	0.3305785123966942	Present	NA	NA
GB057	Proto-Eastern Polynesian	0.0033898419822096897	0.9966101580177903	121	40	0.3305785123966942	Present	NA	NA
GB057	Proto-Oceanic	0.9793679898102897	0.02063201018971025	121	40	0.3305785123966942	Absent	NA	NA
GB057	Proto-Polynesian	0.006025168129981842	0.9939748318700181	121	40	0.3305785123966942	Present	NA	NA
GB058	Proto-Central Pacific	0.24647047690341123	0.7535295230965888	120	52	0.43333333333333335	Present	NA	NA
GB058	Proto-Eastern Polynesian	0.9973840436494561	0.002615956350543892	120	52	0.43333333333333335	Absent	NA	NA
GB058	Proto-Oceanic	0.08222008241028012	0.9177799175897199	120	52	0.43333333333333335	Present	1	True Positive
GB058	Proto-Polynesian	0.9766132605935062	0.023386739406493797	120	52	0.43333333333333335	Absent	NA	NA
GB059	Proto-Central Pacific	0.02570666336034511	0.9742933366396549	126	3	0.023809523809523808	Present	NA	NA
GB059	Proto-Eastern Polynesian	0.024847234516548793	0.9751527654834512	126	3	0.023809523809523808	Present	NA	NA
GB059	Proto-Oceanic	0.025517634977278034	0.974482365022722	126	3	0.023809523809523808	Present	1	True Positive
